ArizonaWest;AZPX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
498;0.00;-0.03;0.13;2.93;3.15;0.03;0.29;0.77;;0.98;0.72;0.37;;-0.10;0.44;1.16;1.05;0.60;0.03;0.70;0.18;0.16;-0.11;0.30;6.74;0.18;6.82;-0.27;30.65;12.34;14.93;5.34;-1.95;0.94;2.28;39.56;3.15;57.27;46.22
968;0.00;0.16;2.56;0.22;2.81;0.14;0.49;0.76;;0.31;0.87;0.41;;0.31;0.89;0.76;0.32;0.75;0.19;0.77;-0.07;0.24;0.12;-0.01;10.70;0.13;8.97;1.60;21.09;9.47;6.21;6.21;-0.79;1.19;1.12;33.38;2.79;49.15;46.59
987;0.00;0.74;0.43;5.56;6.60;0.64;0.63;0.79;;0.65;0.96;0.62;;0.30;1.23;0.83;0.74;0.85;0.12;0.88;0.42;0.26;0.14;-0.02;16.41;0.58;8.41;7.42;49.30;12.73;28.69;7.16;0.72;1.48;1.16;66.89;3.39;95.98;95.57
991;0.00;0.12;0.15;0.63;0.85;-0.06;0.20;0.71;;-0.15;0.77;0.75;;0.36;0.53;1.11;-0.06;0.79;0.25;0.56;-0.02;-0.06;0.05;0.12;7.80;0.67;5.92;1.20;15.35;8.29;3.45;3.23;0.38;0.67;0.30;23.47;2.25;31.75;25.83
1165;0.00;0.03;0.95;0.06;0.96;0.01;0.46;0.75;;0.84;0.91;0.60;;-0.39;1.02;0.37;0.91;0.81;-0.38;0.71;0.43;0.17;0.07;-0.02;8.87;0.13;8.47;0.27;16.29;9.78;2.19;3.30;1.03;0.73;0.77;25.97;2.80;35.98;35.55
1197;0.00;0.18;0.93;1.95;3.08;0.12;0.34;0.52;;0.93;-0.10;0.67;;0.69;0.87;0.15;1.05;0.42;0.38;0.84;0.15;0.47;-0.03;-0.06;8.95;0.55;6.56;1.84;27.33;12.73;11.59;3.06;-0.05;0.61;2.07;38.29;3.20;55.93;48.14
1212;0.00;-0.07;0.97;-0.04;0.80;-0.07;0.44;0.74;;0.36;0.65;0.96;;0.52;1.07;0.47;0.36;0.66;0.51;0.85;0.26;-0.30;0.06;0.02;4.59;0.93;4.33;-0.67;19.02;13.42;1.73;5.14;-1.27;0.94;-1.41;22.13;3.12;32.43;29.17
1290;0.00;-0.09;0.20;0.03;0.03;-0.02;0.07;0.38;;0.42;0.51;0.45;;0.47;0.43;0.77;0.30;0.53;0.45;0.57;0.49;0.22;0.10;0.30;7.12;0.34;7.72;-0.93;8.72;7.30;0.53;1.66;-0.77;0.28;2.60;18.37;2.23;24.04;19.41
1492;0.00;0.00;1.94;-0.59;1.37;0.08;0.28;0.36;;0.13;0.44;1.00;;0.13;0.90;-0.14;0.12;0.67;0.14;0.62;0.19;-0.10;-0.02;-0.12;0.39;0.35;0.07;-0.03;13.09;9.53;0.94;2.74;-0.12;0.54;-1.10;12.33;1.91;21.39;19.95
1538;0.00;0.23;0.98;3.52;4.72;0.12;0.25;0.77;;1.06;0.45;-0.14;;-0.46;0.68;0.55;1.06;0.34;-0.29;0.71;0.21;0.41;0.02;0.00;8.14;0.01;5.86;2.27;39.08;10.05;19.57;0.73;8.73;0.73;2.04;49.23;2.60;70.46;57.26
1633;0.00;-0.03;0.19;-0.29;-0.16;-0.01;-0.05;0.37;;0.05;1.00;0.58;;0.43;0.07;-0.95;-0.01;0.73;0.27;0.00;0.27;0.09;0.02;-0.08;0.33;1.05;-0.39;-0.32;5.92;7.03;-1.07;0.54;-0.58;0.07;0.04;6.23;1.37;9.16;5.00
1726;0.00;-0.03;0.21;0.07;0.26;0.01;0.32;0.55;;1.12;0.69;0.80;;0.05;0.68;0.26;1.03;0.62;0.12;0.78;-0.04;0.79;0.00;-0.05;6.43;0.17;6.59;-0.33;17.21;12.19;0.78;3.74;0.50;0.78;3.71;27.30;3.10;35.84;34.05
2375;0.00;0.01;-0.31;0.82;0.60;-0.01;0.16;0.81;;-0.04;0.96;0.92;;0.13;0.48;1.10;0.05;0.78;0.17;0.54;-0.23;0.15;-0.08;0.08;10.59;-0.10;10.61;0.08;13.43;6.48;3.48;3.04;0.44;0.64;1.13;25.17;2.36;32.94;28.21
2403;0.00;-0.10;-0.97;1.47;0.43;-0.04;0.23;0.74;;0.96;0.08;0.47;;0.07;0.92;0.31;0.90;0.30;0.12;0.86;-0.07;0.30;-0.03;0.00;6.05;0.30;6.80;-1.04;21.33;11.16;5.43;3.65;1.09;0.80;1.52;28.88;2.91;37.51;32.60
2449;0.00;-0.02;0.11;0.46;0.65;-0.08;0.26;0.58;;0.72;0.53;1.03;;0.50;1.06;0.47;0.71;0.56;0.51;0.67;-0.12;0.39;-0.10;-0.03;4.89;-0.08;5.18;-0.21;19.56;12.58;2.53;2.59;1.87;0.64;1.77;26.60;3.03;36.22;29.94
2468;0.00;-0.11;1.32;3.96;5.29;0.26;0.48;0.78;;1.36;0.72;1.11;;-0.42;0.86;1.19;1.28;0.77;-0.36;0.80;-0.26;0.03;-0.12;-0.02;9.22;-0.49;10.78;-1.07;36.18;11.01;22.45;4.39;-1.67;0.77;0.04;45.42;3.28;70.16;61.46
