Bayou;LAKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2;;;;;;;;;;;;
233;0.68;0.00;3.51;-0.09;4.06;0.16;0.25;0.57;;0.75;0.81;0.92;;-0.54;0.48;-12.31;0.84;0.85;-0.51;0.57;0.09;0.20;0.03;0.02;10.76;0.14;7.27;3.36;18.31;7.92;6.55;4.16;-0.32;0.81;1.08;30.16;2.31;48.63;39.07;;;;;;;;;;;;
281;0.00;0.11;0.68;0.00;0.56;-0.06;0.42;0.95;;1.17;1.15;0.80;;0.43;0.77;1.41;1.10;0.86;-0.04;0.75;0.67;0.50;0.23;-0.02;9.46;0.69;7.71;1.06;19.30;14.17;1.36;4.38;-0.61;0.83;2.42;31.17;3.60;41.94;38.21;;;;;;;;;;;;
364;0.00;0.00;-0.15;1.13;1.09;0.00;0.19;0.75;;0.00;1.34;0.24;;0.86;0.60;7.65;-0.15;0.68;0.55;0.81;0.03;-0.27;-0.10;0.05;6.27;0.56;5.71;-0.01;21.83;10.35;5.35;5.24;0.89;1.11;-1.12;26.99;2.64;36.98;30.66;;;;;;;;;;;;
456;0.03;0.00;1.67;0.18;1.95;0.05;0.53;0.75;;1.21;0.10;0.97;;0.43;0.82;4.47;1.36;0.58;0.08;0.82;-0.35;0.65;-0.07;-0.03;10.86;0.17;10.57;0.13;22.99;12.71;4.25;5.91;0.13;1.19;3.13;36.97;3.60;52.06;48.83;;;;;;;;;;;;
590;-0.02;0.02;0.29;-0.35;-0.27;-0.01;0.12;0.15;;0.12;0.82;0.45;;0.30;0.28;-1.02;0.05;0.72;0.57;0.28;0.17;0.21;0.21;0.02;3.53;0.73;2.76;0.05;9.35;7.48;-1.15;3.07;-0.04;0.61;1.16;14.05;1.77;17.63;16.23;;;;;;;;;;;;
1319;0.01;-0.01;-0.21;-0.01;-0.24;-0.03;0.18;0.40;;0.39;0.08;0.98;;-0.24;1.07;2.80;0.39;0.70;-0.09;0.95;-0.26;0.06;0.02;-0.08;3.01;0.64;2.43;-0.06;13.76;10.51;-0.47;0.93;2.80;0.37;-0.10;16.67;2.35;21.79;19.54;;;;;;;;;;;;
1398;-0.02;-0.01;0.37;-0.22;0.25;0.00;0.08;0.85;;0.22;-0.20;-0.13;;0.80;0.83;1.32;0.28;0.23;0.50;0.69;0.05;0.14;-0.12;-0.01;9.83;0.33;9.64;-0.15;11.25;7.96;-0.37;2.35;1.30;0.56;0.64;21.72;2.56;28.88;23.28;;;;;;;;;;;;
1421;-0.08;0.02;1.23;0.21;1.44;0.04;0.56;0.80;;1.42;1.03;0.54;;-0.13;1.18;5.02;1.47;0.75;-0.18;0.82;-0.26;1.09;-0.07;0.24;8.17;0.65;7.80;-0.27;24.37;14.47;3.51;4.93;1.46;1.08;6.67;39.22;3.67;52.90;51.39;;;;;;;;;;;;
1649;-0.04;-0.02;0.54;0.43;0.97;0.03;0.11;0.75;;0.09;0.45;0.36;;0.19;0.87;-4.00;-0.06;0.08;0.21;0.78;-0.03;-0.05;-0.05;-0.02;2.67;1.77;1.27;-0.37;15.92;8.15;3.25;4.65;-0.13;0.92;-0.34;18.25;1.76;25.66;21.08;;;;;;;;;;;;
1818;0.08;0.10;0.93;0.06;1.18;0.03;0.12;0.71;;0.25;0.92;0.66;;-0.13;-0.03;1.41;0.24;0.65;-0.18;0.22;0.04;0.36;-0.01;0.08;7.16;0.43;5.33;1.39;11.92;5.53;2.19;4.32;-0.11;0.86;2.21;21.30;1.64;29.09;24.51;;;;;;;;;;;;
1912;0.01;0.01;0.22;0.35;0.56;-0.08;0.53;0.56;;0.41;1.37;0.64;;0.49;1.03;7.16;0.56;1.01;0.63;0.89;-0.04;0.20;0.03;0.07;7.02;0.68;6.23;0.11;21.58;15.07;2.20;4.27;0.03;0.86;1.36;29.95;3.64;40.79;38.58;;;;;;;;;;;;
1920;0.09;0.00;0.41;-0.05;0.44;-0.07;0.15;0.36;;0.12;0.62;0.58;;0.63;0.18;-4.78;-0.13;0.55;0.27;0.08;0.25;-0.19;0.01;-0.01;2.53;-0.06;2.18;0.41;4.52;4.58;0.59;-0.27;-0.37;-0.08;-0.96;6.09;1.13;10.31;7.19;;;;;;;;;;;;
1927;0.03;-0.02;0.02;1.71;1.63;0.07;0.39;0.48;;0.43;0.57;0.85;;0.54;0.77;-18.69;0.24;0.63;0.58;0.64;-0.07;0.19;0.11;0.00;3.24;0.90;2.35;-0.01;23.02;11.69;8.58;2.65;0.09;0.54;0.93;27.19;2.57;38.73;36.75;;;;;;;;;;;;
2080;-0.08;-0.01;-0.51;0.43;-0.15;-0.05;0.45;0.80;;0.39;1.14;0.73;;1.09;0.21;-1.36;0.34;0.71;0.87;0.35;0.33;0.22;-0.02;0.07;1.35;1.55;0.27;-0.47;20.55;15.21;1.15;3.81;0.38;0.79;1.49;23.40;3.07;30.60;31.07;;;;;;;;;;;;
2183;0.08;0.03;1.51;1.08;2.72;0.08;0.14;0.67;;0.85;1.07;-0.03;;0.33;0.19;0.87;0.94;0.43;0.34;0.23;0.48;-0.05;-0.03;0.05;4.67;0.18;3.84;0.64;23.03;11.10;8.40;4.14;-0.61;0.79;0.00;27.70;2.60;42.71;32.53;;;;;;;;;;;;
2221;0.01;0.02;-0.33;0.38;0.17;-0.04;0.14;0.25;;0.44;0.40;0.64;;0.20;0.71;3.54;0.40;0.68;0.22;0.57;0.24;0.55;-0.09;0.03;6.31;0.41;5.66;0.25;11.96;7.84;1.23;3.02;-0.13;0.60;2.93;21.20;2.13;27.08;23.02;;;;;;;;;;;;
2341;-0.01;-0.02;-0.46;0.83;0.32;0.00;0.17;0.68;;0.89;0.78;0.53;;0.00;1.28;-3.52;0.60;0.53;0.04;1.05;0.57;0.02;0.02;-0.07;5.84;0.43;5.65;-0.25;18.09;11.68;3.23;1.90;1.28;0.46;-0.26;23.67;2.90;31.94;27.01;;;;;;;;;;;;
2587;-0.02;-0.03;0.97;-0.34;0.66;0.01;0.51;0.82;;0.37;0.82;0.72;;1.40;0.83;5.90;0.61;0.71;1.12;0.86;-0.32;0.16;-0.08;-0.03;7.40;0.99;6.77;-0.37;23.85;17.22;0.25;6.25;0.12;1.26;0.65;31.90;4.12;44.27;42.17;;;;;;;;;;;;
