FingerLakes;NYRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
20;0.07;-0.07;3.30;1.14;4.44;0.36;0.48;0.71;;0.55;0.80;0.92;;-0.30;0.80;;0.78;0.88;-0.24;0.78;0.55;0.41;-0.01;0.20;9.97;0.01;10.30;-0.34;26.34;9.39;12.29;6.54;-1.88;1.18;3.06;39.37;2.91;60.52;57.86
73;-0.04;-0.10;0.02;-0.03;-0.04;-0.02;0.04;0.51;;0.00;-0.58;0.34;;0.45;0.36;;0.19;0.06;0.28;0.48;0.11;-0.23;-0.11;0.20;-3.35;0.37;-2.50;-1.21;8.63;8.88;-0.12;2.54;-2.67;0.33;-0.14;5.14;1.53;8.83;5.61
174;-0.06;0.11;0.25;0.21;0.67;-0.04;-0.06;0.70;;0.43;0.39;0.64;;-0.15;0.76;;0.20;0.62;-0.05;0.74;0.56;0.02;-0.15;-0.03;5.77;0.20;4.77;0.80;17.27;8.68;1.56;2.42;4.61;0.79;-0.04;23.01;2.21;30.62;20.76
191;-0.03;0.09;0.62;1.56;2.32;0.02;0.36;0.68;;0.74;1.00;0.84;;0.02;0.70;;0.52;0.79;-0.05;0.74;-0.11;0.10;-0.09;-0.13;8.52;0.47;7.34;0.71;20.77;9.72;9.02;3.81;-1.78;0.64;-0.17;29.13;2.68;43.08;36.79
250;-0.01;-0.05;0.51;0.20;0.59;-0.12;0.23;0.74;;0.55;0.31;0.71;;0.17;0.94;;0.70;0.64;-0.12;0.80;0.05;1.09;0.06;0.09;8.13;0.21;8.49;-0.56;16.77;9.56;2.02;6.02;-0.83;1.15;5.88;30.79;2.76;39.54;32.60
271;-0.04;-0.04;-0.01;0.11;0.21;-0.07;0.32;0.72;;-0.16;0.74;1.21;;1.26;0.71;;-0.09;0.84;1.23;0.77;0.25;-0.08;-0.19;0.23;5.35;0.10;5.84;-0.59;19.56;14.42;0.52;5.54;-0.92;1.05;0.78;25.69;3.47;35.02;30.25
340;0.02;0.62;2.78;0.24;3.56;0.27;0.50;0.70;;0.81;0.87;1.01;;0.84;0.78;;0.71;0.73;0.66;0.78;0.06;0.12;0.10;-0.07;7.29;0.06;0.92;6.31;30.23;17.43;6.76;4.55;1.48;1.01;0.26;37.77;3.58;57.84;54.38
378;0.06;0.06;3.35;-0.19;3.12;0.13;0.17;0.72;;0.57;0.32;0.99;;0.29;0.67;;0.72;0.55;0.23;0.74;-0.15;0.58;0.16;0.49;9.88;0.15;8.82;0.91;20.56;10.44;5.75;3.44;0.93;0.75;5.34;35.78;2.97;52.95;42.49
395;0.08;0.06;2.55;-0.47;1.95;0.05;0.32;0.65;;0.47;0.84;0.79;;0.08;0.74;;0.62;0.79;0.03;0.74;0.19;0.23;0.26;-0.02;10.07;-0.21;9.35;0.93;13.98;9.41;2.77;2.53;-0.73;0.46;1.03;25.08;2.82;38.21;32.77
578;0.17;0.04;3.29;0.28;3.52;0.04;0.37;0.73;;1.25;0.40;0.61;;0.18;0.78;;1.01;0.68;0.37;0.78;0.02;-0.02;0.25;0.05;11.52;0.37;9.97;1.19;27.36;12.90;7.97;4.71;1.78;1.06;0.13;39.01;3.58;58.94;47.54
639;0.44;-0.04;3.40;-0.12;3.61;0.37;0.25;0.68;;0.51;0.48;-0.01;;0.06;0.75;;0.64;0.49;0.06;0.67;0.06;0.04;0.06;0.05;10.80;0.15;8.86;1.79;24.98;8.21;6.17;2.35;8.25;1.02;0.45;36.24;2.53;53.85;50.41
810;0.05;-0.03;2.60;0.16;2.87;0.22;0.30;0.67;;0.47;0.62;0.55;;-0.12;0.64;;0.48;0.74;-0.02;0.60;0.05;0.00;-0.09;0.13;6.89;0.42;6.50;-0.03;21.01;9.07;6.01;5.31;0.61;1.10;0.68;28.58;2.46;43.72;40.05
1126;0.00;0.23;2.64;0.03;2.75;0.11;0.33;0.71;;0.70;0.18;0.71;;0.37;0.41;;0.93;0.52;0.13;0.53;-0.08;-0.21;0.14;0.09;6.09;1.07;2.71;2.30;22.26;12.73;5.42;4.86;-0.75;0.92;-0.59;27.75;2.82;43.40;37.03
1405;0.09;-0.08;1.90;0.48;2.44;0.16;0.26;0.70;;0.75;0.84;0.35;;0.21;0.52;;0.78;0.55;0.16;0.55;0.33;-0.12;-0.06;-0.17;6.52;0.54;6.38;-0.40;26.74;10.52;6.19;1.35;8.68;0.85;-1.46;31.80;2.74;46.27;40.86
1450;0.05;0.06;0.22;0.30;0.73;0.04;0.44;0.56;;0.62;1.20;0.59;;1.42;0.50;;0.33;0.78;1.38;0.68;0.02;0.30;-0.10;-0.04;7.87;0.57;6.42;0.87;21.65;15.49;1.92;3.40;0.85;0.74;1.29;30.81;3.74;42.43;40.74
1507;-0.02;0.00;2.21;0.51;2.54;0.27;0.21;0.65;;0.46;0.51;0.61;;0.88;0.66;;0.53;0.72;0.77;0.45;0.07;0.20;0.16;0.25;6.16;0.45;5.80;-0.09;23.65;12.72;6.99;4.04;-0.10;0.80;2.27;32.08;3.12;47.83;43.10
1511;-0.02;-0.15;3.86;0.13;3.90;0.28;0.33;0.69;;1.00;0.48;0.92;;-0.07;0.70;;0.78;0.79;0.16;0.74;-0.01;0.02;-0.08;0.01;9.52;0.15;10.92;-1.55;30.08;10.35;8.34;4.38;7.00;1.34;0.15;39.75;3.16;59.84;53.24
1518;0.04;-0.15;1.28;0.05;1.05;-0.11;0.18;0.59;;0.38;0.29;0.74;;-0.18;0.55;;0.66;0.51;-0.20;0.56;-0.08;-0.07;0.16;-0.03;8.08;0.09;9.34;-1.36;16.38;6.00;2.80;1.82;5.77;0.75;-0.48;23.98;2.13;32.60;24.92
1551;0.03;0.01;1.61;-0.23;1.35;0.00;0.24;0.70;;-0.19;0.96;0.71;;0.39;0.58;;0.15;0.66;0.83;0.57;0.15;0.06;0.06;0.10;7.01;0.67;6.15;0.19;22.94;11.47;2.07;0.77;8.63;0.73;0.81;30.76;2.91;42.24;35.67
1559;-0.02;-0.02;2.97;0.38;3.14;0.38;0.46;0.61;;1.03;0.26;0.73;;0.72;0.42;;0.87;0.55;0.67;0.52;0.18;-0.11;0.17;0.24;6.12;0.24;6.17;-0.29;27.41;13.02;7.82;5.95;0.62;1.23;0.65;34.18;3.22;52.06;52.93
1585;-0.09;0.04;0.41;-0.59;-0.56;-0.05;0.11;0.65;;0.38;0.73;0.86;;0.18;0.15;;0.32;0.73;0.13;0.19;0.13;0.05;0.34;-0.01;5.22;1.38;3.91;-0.06;9.04;8.22;-2.11;3.74;-0.81;0.69;0.20;14.46;2.04;17.79;15.21
1591;-0.03;0.03;0.20;0.40;0.78;0.15;0.17;0.69;;-0.04;0.33;0.57;;1.06;0.19;;0.17;0.65;0.95;0.29;-0.17;0.04;-0.18;0.09;2.89;1.11;1.65;0.14;18.87;12.90;2.39;5.79;-2.21;1.01;0.67;22.44;2.74;31.72;29.55
1665;-0.01;0.05;1.91;-0.30;1.63;-0.05;0.30;0.74;;0.70;0.31;0.64;;0.77;0.66;;0.70;0.47;0.81;0.69;-0.03;0.13;0.03;-0.15;7.73;-0.58;7.81;0.50;19.77;13.13;2.33;5.10;-0.81;0.97;-0.10;27.40;3.41;41.00;32.16
1765;-0.04;-0.07;-0.05;0.22;0.03;-0.05;-0.06;0.50;;0.48;0.12;0.38;;0.25;0.57;;0.42;0.20;0.28;0.55;0.51;-0.23;0.03;0.23;0.80;-0.14;1.82;-0.88;9.75;8.79;0.97;-0.04;0.03;-0.01;0.00;10.55;1.94;15.49;8.07
1880;0.00;-0.08;0.98;0.15;0.73;-0.06;0.35;0.72;;0.26;1.13;0.56;;0.79;0.80;;0.10;0.74;0.56;0.79;-0.12;0.64;0.32;0.01;4.78;0.70;4.89;-0.81;21.87;12.15;2.73;5.19;1.80;1.16;3.26;29.91;2.92;39.49;35.30
2010;0.00;0.13;0.05;2.56;2.64;-0.01;0.45;0.69;;0.60;1.24;0.27;;-0.10;0.69;;0.49;0.62;-0.04;0.65;0.24;0.32;0.11;-0.02;12.52;-0.27;11.46;1.33;26.02;6.30;12.91;4.06;2.75;0.99;1.50;40.04;2.41;54.29;48.76
2228;-0.04;0.04;0.82;0.62;1.57;0.12;0.25;0.68;;0.65;0.38;0.54;;0.26;0.64;;0.64;0.60;0.06;0.66;-0.13;-0.18;-0.13;-0.05;7.52;0.80;6.50;0.22;18.33;9.99;4.72;4.25;-0.63;0.81;-1.15;24.69;2.65;36.22;32.68
2340;-0.04;0.07;0.77;-0.07;0.83;-0.12;0.41;0.49;;0.53;0.97;0.92;;0.15;0.60;;0.41;0.80;0.08;0.67;-0.03;0.40;-0.11;-0.04;7.51;0.11;6.93;0.47;14.21;8.78;1.18;4.52;-0.27;0.89;1.81;23.53;2.45;32.25;28.70
2383;0.02;0.23;1.12;0.64;2.02;-0.04;0.33;0.70;;0.78;1.90;0.74;;0.51;0.88;;0.77;0.79;0.24;0.85;0.29;0.26;-0.02;-0.04;10.86;0.52;7.99;2.35;25.86;12.79;5.43;4.02;3.61;1.04;1.11;37.83;3.36;52.53;43.53
2638;0.00;-0.01;-0.56;2.60;2.10;0.11;0.42;0.68;;0.57;0.66;0.44;;0.47;0.78;;0.59;0.50;0.52;0.77;0.09;-0.06;-0.08;-0.12;6.82;0.51;6.46;-0.15;28.27;12.06;11.87;4.97;-0.62;0.95;-0.90;34.20;3.06;48.41;45.48
2791;0.07;0.57;-0.29;3.31;3.57;0.18;0.39;0.60;;0.79;0.70;0.16;;0.08;0.72;;0.71;0.49;0.09;0.65;0.40;-0.01;0.09;-0.06;11.15;0.38;4.77;6.01;28.10;10.32;15.99;2.28;-0.48;0.42;-0.31;38.94;2.54;56.46;51.13
2809;-0.05;0.15;2.45;0.15;2.52;0.38;0.23;0.66;;0.84;0.58;0.77;;0.44;0.66;;0.77;0.58;0.36;0.65;0.23;-0.29;0.18;0.07;8.04;1.08;5.70;1.26;25.10;12.25;5.65;5.54;1.66;1.22;-1.11;32.04;3.02;47.46;46.03
