Hawaii;HIHO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
359;0.08;0.24;0.18;4.12;4.63;0.23;0.63;0.81;0.99;0.89;0.59;1.01;0.13;0.21;1.01;-1.67;0.97;0.91;0.16;0.87;-0.09;0.63;-0.01;0.01;15.53;-0.07;12.78;2.82;39.59;12.22;20.96;5.63;0.79;1.18;3.18;58.29;3.72;82.07;76.51
368;0.00;-0.04;0.22;3.89;4.09;0.23;0.18;-0.05;0.27;1.02;0.55;1.15;0.18;0.58;0.56;1.17;0.59;0.81;0.41;0.61;0.22;0.49;-0.02;0.01;8.58;0.82;8.14;-0.37;32.11;7.78;19.88;2.64;1.81;0.65;2.47;43.16;2.37;61.87;52.35
1378;0.00;-0.03;-0.21;-0.51;-0.73;-0.03;0.14;0.62;0.74;0.02;0.82;0.80;-0.35;0.07;0.40;-1.33;0.30;0.92;-0.08;0.46;-0.02;0.28;-0.02;0.00;3.13;-0.46;3.87;-0.28;7.75;9.12;-2.95;2.25;-0.66;0.40;1.41;12.29;2.21;15.54;14.36
2090;-0.02;0.05;1.00;1.11;2.06;-0.03;0.30;0.81;0.96;0.42;0.46;0.46;0.14;0.39;0.58;3.22;0.49;0.49;0.38;0.59;-0.10;0.78;0.09;-0.02;5.84;-0.46;5.84;0.46;23.52;10.89;7.54;4.05;1.04;0.88;3.79;33.15;2.76;46.49;38.41
2348;0.01;0.07;0.30;-0.28;0.11;0.00;0.08;0.48;0.62;0.14;0.56;1.38;-0.03;0.01;0.97;-0.33;0.33;0.90;0.01;0.87;0.26;-0.12;-0.01;0.09;8.50;0.16;7.58;0.77;12.11;9.19;-0.80;3.43;0.29;0.71;-0.14;20.48;2.60;27.32;21.95
2437;0.00;0.12;-0.26;0.62;0.49;0.04;0.19;0.62;0.39;0.57;0.75;0.61;-0.16;-0.10;0.82;-0.89;0.47;0.80;0.02;0.75;0.42;0.32;0.00;0.00;5.62;0.65;3.76;1.21;18.18;11.43;2.61;4.45;-0.31;0.87;1.59;25.38;2.66;33.57;30.16
2438;-0.01;0.55;0.23;2.29;3.05;0.14;0.20;0.72;0.75;0.30;0.03;0.10;-0.01;0.28;0.64;4.78;0.56;0.20;-0.02;0.71;0.09;0.07;0.00;0.00;12.30;-0.17;7.04;5.44;23.42;7.33;11.89;3.26;0.93;0.71;0.34;36.06;2.17;51.02;43.59
2439;0.08;0.02;3.16;0.31;3.58;0.15;0.54;0.77;0.99;1.15;0.07;1.16;-0.28;1.47;0.97;1.28;0.95;0.74;0.94;0.90;-0.21;0.83;-0.01;0.00;10.45;-0.03;9.89;0.59;29.97;16.59;7.86;4.90;0.62;1.02;4.10;44.52;4.31;66.49;59.16
2441;0.01;-0.13;-0.28;-0.12;-0.60;-0.03;-0.08;0.43;0.32;-0.37;-0.28;0.49;0.28;0.50;0.65;0.11;-0.19;0.09;0.43;0.68;0.86;0.22;0.07;0.01;0.11;0.67;0.75;-1.31;5.32;6.80;-1.17;-0.24;-0.06;-0.05;1.16;6.59;1.43;8.30;4.27
2443;0.00;0.14;0.18;2.34;2.57;-0.01;0.27;0.61;1.14;-0.16;0.20;0.11;0.05;0.07;0.94;-1.22;0.68;0.20;-0.08;0.92;-0.27;0.07;0.08;-0.01;9.97;0.42;8.15;1.41;25.41;7.55;12.04;3.99;1.84;0.92;0.28;35.66;2.32;49.51;40.85
2444;-0.01;0.15;0.29;0.53;0.98;0.05;0.32;0.73;0.55;0.50;0.56;0.80;-0.36;0.26;0.75;1.94;0.47;0.85;0.03;0.85;0.60;-0.10;-0.02;-0.03;11.91;0.59;9.89;1.42;15.94;9.73;3.25;3.21;-0.25;0.63;-0.64;27.21;2.93;37.62;34.83
2445;-0.02;-0.03;1.03;-0.45;0.55;-0.06;0.34;0.62;0.63;0.96;0.82;1.22;0.23;0.01;0.63;1.39;0.95;0.76;0.12;0.73;-0.20;-0.19;-0.01;0.00;5.56;1.06;4.93;-0.42;19.04;13.41;-0.16;3.96;1.83;0.91;-0.96;23.63;3.18;33.29;28.94
