KansasCity;MOKC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
31;0.00;0.06;0.90;-0.02;0.97;-0.02;0.13;0.70;-3.43;0.39;;0.64;;0.48;0.77;0.45;0.01;0.40;0.19;0.66;0.44;-0.15;-0.04;0.06;8.56;-0.50;8.44;0.63;8.72;5.61;1.67;0.55;0.89;0.17;-0.46;16.82;1.96;24.76;19.02
935;0.00;0.01;-0.61;0.99;0.25;0.03;0.25;0.54;2.16;0.83;;0.55;;0.17;0.75;0.71;0.92;0.86;0.03;0.59;-0.12;0.00;0.14;0.27;5.66;0.72;4.82;0.12;19.74;12.36;3.71;4.01;-0.34;0.78;1.37;26.77;2.95;34.93;32.45
937;0.00;-0.01;0.15;-0.54;-0.37;-0.07;0.01;0.14;-5.31;0.31;;0.52;;-0.23;0.57;0.35;0.32;0.30;-0.21;0.46;0.86;0.10;-0.03;0.05;-0.83;0.13;-0.90;-0.06;3.81;5.51;-2.39;-1.00;1.67;-0.09;0.72;3.70;1.01;5.08;2.26
1108;0.00;-0.03;0.06;0.86;0.57;0.04;0.32;0.80;-1.13;0.78;;1.12;;0.24;0.94;0.74;0.49;0.65;0.42;0.93;-0.07;-0.08;0.31;0.00;6.36;0.89;5.80;-0.33;22.92;13.51;4.41;5.78;-0.78;1.10;-0.37;28.91;3.28;38.90;36.18
1723;0.00;-0.03;1.06;-0.20;0.91;0.03;0.22;0.66;2.74;0.27;;0.17;;0.71;0.85;0.62;0.39;0.40;0.58;0.72;-0.14;-0.04;-0.09;0.13;7.27;0.61;6.92;-0.26;15.27;10.27;1.10;2.45;1.45;0.59;0.47;23.01;2.75;32.73;28.18
1730;0.00;0.09;1.56;0.28;1.81;0.07;0.67;0.77;-0.43;1.02;;0.59;;0.53;0.77;0.63;1.10;0.55;0.22;0.77;-0.09;0.00;0.11;-0.14;7.64;0.70;6.05;0.89;21.04;14.09;4.50;3.19;-0.74;0.59;-0.71;27.97;3.42;42.18;43.10
1737;0.00;-0.06;-0.35;0.76;0.35;-0.04;-0.18;0.40;6.49;-0.08;;0.69;;-0.04;0.59;0.82;-0.13;0.67;-0.13;0.70;-0.38;-0.29;0.00;-0.12;3.00;0.82;2.78;-0.61;8.25;6.17;3.09;-0.11;-0.90;-0.08;-2.01;9.23;1.51;14.11;4.65
1763;0.00;0.06;1.54;-0.11;1.52;0.07;-0.01;0.64;-1.49;0.61;;0.77;;-0.09;0.34;0.96;0.66;0.52;0.06;0.34;0.15;0.21;-0.03;0.06;4.81;1.60;2.60;0.60;16.35;9.76;2.54;5.12;-1.07;0.95;1.37;22.53;2.21;32.80;24.05
1764;0.00;-0.05;1.07;0.89;1.77;-0.02;-0.06;0.43;-0.88;0.32;;0.11;;-0.12;0.56;0.65;0.20;0.23;0.07;0.57;-0.37;-0.13;0.14;0.22;6.43;-0.21;7.15;-0.50;14.67;3.91;6.61;4.33;-0.18;0.85;0.42;21.52;1.50;30.81;19.97
1769;0.00;-0.08;1.43;-0.29;1.17;-0.01;0.43;0.74;1.09;1.19;;0.57;;0.61;0.73;0.90;0.95;0.67;0.56;0.78;-0.01;0.72;-0.12;-0.03;8.47;0.62;8.68;-0.83;18.21;14.17;1.40;3.01;-0.37;0.58;3.46;30.13;3.70;43.04;38.48
1775;0.00;-0.09;3.76;-0.54;3.18;-0.01;0.54;0.76;0.64;1.04;;0.85;;-0.09;0.82;0.62;1.11;0.72;0.11;0.76;0.24;0.06;-0.05;0.02;4.60;0.53;5.01;-0.94;26.91;14.77;4.83;4.58;2.72;1.10;0.36;31.87;3.46;50.45;42.30
1777;0.00;-0.07;0.26;-0.04;0.13;0.06;0.24;0.70;-0.50;0.23;;0.56;;0.84;0.82;0.61;0.16;0.42;0.78;0.67;0.01;-0.18;0.02;0.06;3.70;1.19;3.18;-0.67;18.19;12.01;0.31;5.37;0.49;1.11;-0.57;21.32;2.72;28.52;27.64
