MARWesttown;PAWCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
103;-0.01;0.00;3.79;0.15;3.91;0.36;0.24;0.56;55.83;0.05;0.41;0.69;;0.03;0.74;;0.07;0.62;0.13;0.72;-0.07;-0.09;0.02;0.02;-1.91;-0.02;-1.84;-0.06;24.70;11.37;8.33;4.73;0.28;0.97;-0.36;22.43;2.09;39.86;36.24
225;-0.01;0.67;0.26;4.24;5.15;0.30;0.44;0.72;52.33;0.70;0.81;0.63;;0.25;0.68;;0.87;0.67;0.32;0.69;-0.16;0.37;0.00;0.11;12.50;0.36;5.49;6.65;44.31;13.59;21.70;2.67;6.35;0.96;2.37;59.18;3.27;83.44;75.47
272;0.00;0.01;0.30;0.39;0.80;0.03;0.13;0.51;29.33;0.58;0.73;0.59;;0.21;0.49;;0.37;0.63;0.29;0.55;0.08;0.01;-0.11;0.02;9.37;0.23;9.08;0.07;12.12;7.22;2.55;1.88;0.46;0.41;0.16;21.65;2.35;30.04;24.96
316;-0.01;-0.10;-0.37;0.92;0.50;0.03;0.24;0.70;-15.17;0.74;0.60;0.67;;0.31;0.60;;0.59;0.66;0.11;0.62;0.05;0.63;-0.06;0.11;10.01;-0.31;11.32;-1.00;14.55;7.74;3.84;2.12;0.86;0.48;3.69;28.26;2.68;36.53;33.85
321;0.00;0.03;2.90;0.61;3.51;0.10;0.22;0.75;13.83;0.84;-0.45;0.72;;0.78;0.52;;0.60;0.44;0.71;0.54;-0.13;0.11;0.03;-0.07;7.85;0.28;7.31;0.26;22.69;11.55;8.86;2.82;-0.53;0.53;0.23;30.77;3.04;49.33;37.47
341;-0.01;0.24;0.10;0.74;1.07;-0.11;0.16;0.71;-25.67;0.40;0.61;0.75;;-0.04;0.53;;0.20;0.53;0.22;0.56;-0.11;0.47;0.00;0.00;3.19;0.76;0.08;2.35;21.64;11.09;3.91;3.64;3.00;0.93;2.38;27.22;2.23;36.13;27.78
365;0.00;0.19;0.10;3.22;3.47;0.09;0.08;0.73;36.33;0.57;0.51;0.72;;0.03;0.54;;0.65;0.61;-0.09;0.53;0.33;0.31;0.03;-0.01;6.28;1.15;3.24;1.89;32.30;10.50;16.28;2.97;2.56;0.76;1.46;40.04;2.42;56.96;43.86
423;0.00;0.08;3.64;-0.79;2.80;0.17;0.16;0.71;-8.67;0.14;0.80;0.69;;1.00;0.68;;0.16;0.72;0.68;0.67;0.01;0.10;0.12;0.12;8.51;0.20;7.53;0.77;19.12;10.95;3.35;4.57;0.26;0.93;1.12;28.74;2.94;44.86;36.15
433;-0.01;-0.01;2.14;0.03;2.01;-0.02;0.35;0.72;54.33;0.42;0.69;0.66;;0.99;0.71;;0.43;0.69;0.39;0.68;-0.38;0.05;0.15;0.09;5.51;0.95;4.65;-0.09;21.18;12.25;4.43;2.29;2.20;0.61;0.71;27.39;2.92;40.97;33.86
484;0.00;0.02;1.73;1.00;2.76;0.08;0.25;0.68;18.33;0.57;0.54;0.68;;-0.10;0.70;;0.58;0.59;0.01;0.69;-0.21;0.38;0.00;0.11;9.36;0.02;9.16;0.18;21.64;8.15;8.47;3.34;1.68;0.78;2.49;33.50;2.55;48.48;40.48
486;0.00;-0.05;-0.13;0.00;-0.31;-0.01;0.51;0.71;7.33;0.80;0.72;0.71;;0.39;0.75;;0.78;0.72;0.41;0.73;0.19;0.22;0.12;0.00;10.48;0.00;11.00;-0.52;16.18;11.28;-0.28;6.24;-1.06;1.18;1.10;27.75;3.36;35.19;37.76
708;0.08;-0.05;4.52;0.11;4.48;0.58;0.36;0.74;-51.67;0.13;0.44;0.70;;1.16;0.72;;0.13;0.61;0.82;0.69;0.21;0.01;0.19;0.00;6.10;0.38;5.78;-0.06;33.49;12.06;9.58;3.43;8.41;1.25;0.07;39.65;2.99;61.12;61.45
816;-0.01;-0.11;-0.24;0.11;-0.35;-0.15;0.19;0.70;-46.17;-0.04;0.43;0.68;;-0.17;0.58;;0.24;0.54;-0.19;0.62;-0.03;0.00;0.09;0.00;4.62;1.32;4.47;-1.18;12.20;7.29;0.08;5.60;-0.76;1.07;-0.01;16.81;1.90;20.49;16.92
1143;0.00;0.14;-0.58;3.36;2.90;0.28;0.35;0.43;36.33;0.87;0.85;0.63;;0.35;0.66;;0.97;0.72;0.34;0.66;0.58;0.40;0.01;-0.01;11.18;0.45;9.38;1.35;30.87;10.91;15.62;5.34;-1.00;1.00;1.97;44.02;3.12;60.87;57.95
1168;-0.01;-0.03;0.54;-0.53;-0.04;0.00;0.28;0.68;51.83;0.62;0.50;0.65;;0.28;0.64;;0.62;0.58;0.48;0.63;0.14;-0.04;0.02;0.09;5.77;0.71;5.39;-0.34;14.94;12.32;-1.54;3.10;1.07;0.69;0.23;20.94;3.00;28.33;26.42
1218;0.00;-0.04;-0.58;2.61;1.89;0.07;0.36;0.68;-52.67;0.60;0.77;0.68;;0.02;0.73;;0.61;0.69;-0.12;0.71;0.22;0.04;0.10;0.03;7.00;0.18;7.25;-0.42;27.14;9.32;11.89;4.84;1.09;1.04;0.37;34.51;2.59;46.88;43.33
1370;-0.01;0.00;0.67;0.01;0.67;-0.15;-0.17;0.50;-14.67;0.16;0.59;0.55;;0.29;0.42;;0.10;0.54;0.24;0.45;0.09;0.51;-0.01;-0.06;9.50;-0.07;9.66;-0.09;6.24;4.33;1.38;0.51;0.02;0.10;2.24;17.99;1.83;24.66;10.83
1391;0.01;-0.03;0.64;0.31;0.90;-0.01;0.26;0.53;-8.17;0.61;0.88;0.50;;0.37;0.54;;0.64;0.63;0.22;0.55;0.39;0.09;0.04;0.02;7.19;0.02;7.42;-0.25;15.79;9.16;2.84;4.26;-0.47;0.82;0.55;23.53;2.57;32.76;28.53
1640;0.08;0.52;0.34;3.93;4.81;0.08;0.29;0.50;-19.17;0.98;0.30;0.54;;-0.16;0.73;;0.94;0.51;-0.15;0.72;0.26;0.48;0.06;0.04;13.70;0.20;7.90;5.59;32.70;8.69;20.32;2.95;0.75;0.64;2.63;49.03;2.53;70.40;56.83
1712;-0.01;0.06;2.22;0.26;2.37;0.13;0.38;0.71;29.83;0.77;0.74;0.68;;0.48;0.70;;0.69;0.71;0.26;0.71;0.24;0.16;0.16;0.03;6.65;0.34;5.80;0.51;21.08;12.51;5.75;3.18;-0.35;0.61;0.95;28.68;3.08;43.79;39.47
2539;0.00;-0.05;1.06;0.41;1.41;0.06;0.36;0.70;7.33;0.67;0.68;0.70;;0.09;0.70;;0.54;0.69;0.14;0.70;0.04;0.24;0.02;-0.10;9.92;0.42;9.98;-0.48;19.38;8.81;4.16;5.94;0.47;1.22;0.68;29.99;2.76;41.28;38.78
2559;0.01;-0.01;0.35;1.21;1.62;0.08;0.20;0.61;18.33;0.63;0.62;0.68;;0.23;0.65;;0.53;0.69;0.17;0.66;-0.06;0.34;-0.05;0.16;9.39;0.75;8.72;-0.08;17.11;8.94;6.78;1.96;-0.57;0.35;2.53;29.02;2.66;40.73;34.99
2607;0.00;0.12;0.21;0.89;1.10;0.03;0.08;0.68;-8.67;0.07;0.78;0.71;;-0.03;0.45;;0.32;0.71;-0.13;0.51;0.54;-0.17;0.13;-0.07;9.20;0.41;7.56;1.23;12.40;6.69;4.88;2.55;-1.72;0.40;-1.19;20.42;2.09;29.09;22.82
3151;-0.02;-0.01;0.37;0.00;0.40;-0.23;0.08;0.34;-21.17;-0.12;0.78;0.49;;0.41;0.62;;-0.19;0.59;0.30;0.64;0.85;-0.08;-0.06;0.08;6.04;0.29;5.95;-0.20;8.34;5.40;0.71;1.65;0.58;0.37;-0.01;14.37;1.68;19.80;10.21
3929;0.00;-0.02;-0.24;0.89;0.70;0.02;0.30;0.72;9.33;0.48;0.68;0.72;;0.51;0.72;;0.55;0.70;0.09;0.70;-0.13;0.25;-0.07;-0.08;8.54;0.18;8.59;-0.23;15.79;9.48;3.97;3.89;-1.55;0.68;0.85;25.19;2.75;34.26;31.76
3974;0.01;0.09;4.38;-0.70;3.82;0.27;0.21;0.74;-14.67;0.55;0.70;0.67;;0.25;0.60;;0.55;0.69;0.16;0.62;-0.16;0.25;-0.04;0.20;10.67;0.09;9.63;0.96;17.96;9.02;5.28;4.59;-0.93;0.86;2.25;30.88;2.77;49.75;41.88
4342;-0.01;-0.17;3.49;0.35;3.65;0.10;0.26;0.68;11.83;0.33;1.11;0.67;;0.25;0.68;;0.41;0.73;0.36;0.70;0.30;-0.15;0.01;0.08;9.19;-0.15;11.12;-1.78;21.72;8.79;8.73;3.23;0.97;0.71;-0.37;30.53;2.87;49.12;38.26
4373;0.00;-0.14;0.09;0.35;0.27;0.02;0.38;0.68;-4.17;0.75;0.89;0.70;;-0.08;0.71;;0.55;0.73;0.02;0.69;0.43;-0.27;0.02;0.02;2.13;-0.11;3.70;-1.45;14.99;11.46;1.92;3.44;-1.83;0.57;-1.28;15.84;2.66;23.34;24.10
