MIAnnArborSkyline;MIANN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
66;0.01;-0.05;3.18;0.04;3.22;0.15;0.15;0.37;;0.76;0.31;1.11;;0.14;0.88;;0.62;0.68;-0.02;0.69;-0.22;2.29;-0.03;0.22;5.51;-0.11;6.06;-0.44;17.91;8.59;6.58;2.78;-0.05;0.55;12.55;35.97;2.32;51.82;42.67
1504;0.08;0.04;-0.63;0.19;-0.43;-0.06;0.16;0.72;;0.23;0.60;0.69;;0.25;0.63;;0.43;0.66;0.30;0.59;0.13;0.77;0.11;0.26;8.90;0.58;7.55;0.77;10.29;9.69;-0.30;0.79;0.11;0.16;5.16;24.35;2.69;29.73;25.91
2224;0.00;-0.14;0.58;-0.27;-0.03;-0.02;0.24;0.77;;0.69;0.06;0.29;;0.63;0.10;;0.83;0.22;0.37;0.43;0.73;-0.45;0.19;-0.11;0.45;0.97;0.85;-1.37;15.09;12.60;-0.22;1.59;1.11;0.39;-2.83;12.71;2.61;19.13;16.91
2673;0.01;-0.04;-0.13;0.21;-0.17;-0.02;0.05;0.75;;-0.22;0.47;0.17;;0.72;0.62;;-0.10;0.47;0.66;0.74;-0.11;-0.30;0.21;-0.08;3.09;1.54;1.92;-0.37;14.69;11.59;0.77;0.84;1.49;0.27;-1.91;15.88;2.51;21.62;16.26
2771;-0.01;0.16;-0.39;4.65;3.98;0.13;0.26;0.74;;0.96;0.99;0.37;;0.21;0.56;;0.76;0.62;0.33;0.53;-0.27;0.65;0.42;0.23;10.76;0.07;9.20;1.49;33.53;10.35;22.45;1.93;-1.19;0.31;4.39;48.68;2.99;68.60;57.12
3234;0.17;-0.13;3.40;-0.26;3.39;0.14;0.46;0.71;;-0.15;0.97;0.64;;0.41;0.71;;0.29;0.85;0.61;0.74;-0.35;0.25;-0.22;0.14;8.44;-0.16;9.09;-0.49;28.74;11.44;5.48;4.40;7.41;1.37;1.92;39.09;3.20;57.68;51.74
3322;0.00;0.00;0.96;-0.08;0.68;0.04;0.04;0.55;;0.83;0.22;0.39;;-0.12;0.56;;0.94;0.32;-0.23;0.56;-0.23;-0.38;0.20;-0.14;3.73;1.06;2.67;0.00;13.32;9.40;1.53;3.09;-0.71;0.57;-2.59;14.45;2.15;21.96;16.32
3452;-0.03;0.00;0.34;3.26;3.58;0.22;0.34;0.65;;0.51;0.82;0.26;;0.59;0.76;;0.73;0.52;0.60;0.75;0.33;0.60;-0.01;0.48;9.72;0.02;9.85;-0.15;33.46;11.32;16.99;4.71;0.45;0.97;5.40;48.58;3.25;67.88;61.02
3536;0.00;0.56;-0.22;2.31;2.44;0.03;-0.04;0.75;;0.93;0.72;0.88;;-0.54;0.35;;0.75;0.69;-0.44;0.40;0.46;1.09;0.20;0.10;12.26;0.37;6.28;5.61;22.05;7.57;11.08;2.82;0.58;0.60;5.96;40.27;2.14;53.24;40.19
3641;0.00;-0.01;3.73;1.66;5.28;0.21;0.52;0.72;;0.84;0.63;0.94;;0.22;0.90;;0.87;0.80;0.12;0.77;0.19;0.31;0.10;-0.13;5.28;0.34;5.01;-0.07;34.92;13.88;15.75;4.47;0.83;0.95;0.92;41.13;3.28;65.83;56.77
4216;-0.02;0.01;4.41;-0.19;4.27;0.27;0.37;0.69;;0.42;0.77;0.76;;0.19;0.84;;0.67;0.72;0.03;0.74;-0.17;0.29;-0.07;-0.02;11.96;0.05;11.92;-0.01;21.09;8.26;7.88;5.39;-0.44;1.05;1.32;34.38;2.84;54.84;48.57
