MIKetteringUniversity1;MIKET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
1;0.00;0.00;-0.08;1.11;0.97;0.00;0.11;0.65;-0.18;0.35;0.25;0.75;-0.04;0.52;0.68;0.70;0.11;0.51;0.22;0.68;-0.01;-0.01;0.06;-0.04;2.59;0.99;1.60;0.01;19.64;9.99;5.39;5.05;-0.79;0.96;-0.24;21.99;2.16;30.41;24.26
70;-0.01;0.00;0.00;0.97;1.00;0.00;0.20;0.57;0.77;0.31;0.29;0.49;0.35;0.80;0.75;0.30;0.43;0.48;0.73;0.60;0.00;0.05;-0.04;0.05;9.20;-0.52;9.74;-0.03;17.32;10.00;4.86;2.10;0.37;0.44;0.50;27.02;2.97;37.58;31.00
322;0.00;0.00;-0.09;0.12;0.03;0.00;-0.03;0.44;0.28;0.14;0.00;0.84;-0.38;0.74;0.30;0.48;-0.11;0.28;0.65;0.33;0.31;0.09;-0.01;-0.03;4.43;1.05;3.41;-0.02;8.97;6.07;0.40;1.80;0.69;0.41;0.32;13.72;1.55;17.71;13.20
468;0.00;0.00;0.38;0.72;1.13;-0.01;0.05;0.73;-0.39;0.07;0.49;0.16;0.78;0.16;0.54;0.74;-0.16;0.31;0.22;0.58;-0.09;0.02;-0.03;0.01;5.39;0.41;4.96;0.02;12.88;5.77;4.37;3.01;-0.27;0.58;0.14;18.42;1.65;26.08;19.26
894;-0.01;0.00;-0.15;1.40;1.23;-0.01;0.05;0.26;-0.29;-0.14;0.72;1.11;0.26;0.60;1.01;0.87;-0.12;0.86;0.35;0.87;0.04;0.13;0.01;-0.03;9.73;0.01;9.79;-0.07;14.60;6.12;6.69;2.14;-0.35;0.41;0.50;24.83;2.20;34.17;25.70
1322;-0.02;0.00;-0.08;0.13;0.05;-0.01;0.23;0.47;0.26;-0.05;0.56;0.70;-0.61;0.46;0.63;0.60;0.13;0.62;0.27;0.62;-0.10;0.33;-0.02;0.05;0.56;0.34;0.30;-0.08;11.03;10.50;0.46;0.94;-0.88;0.13;1.91;13.51;2.13;18.99;17.89
3535;0.01;0.00;0.61;0.90;1.38;-0.01;0.34;0.72;1.35;0.03;0.93;0.47;1.43;0.33;0.63;0.82;0.34;0.61;0.67;0.68;0.17;0.50;0.14;-0.01;10.75;-0.05;10.75;0.05;18.79;9.64;5.72;4.08;-0.66;0.77;2.46;32.00;3.00;43.81;38.59
3568;0.00;0.00;-0.08;-0.21;-0.25;0.00;0.29;0.48;0.36;0.57;1.03;0.53;1.84;0.69;0.36;0.70;0.27;0.84;0.90;0.53;-0.08;0.31;-0.03;-0.01;3.13;1.92;1.20;0.01;16.99;14.51;-1.21;3.76;-0.07;0.75;1.48;21.60;3.02;28.36;27.29
3656;-0.01;0.00;0.00;0.34;0.39;0.00;0.48;0.75;0.00;0.67;0.65;0.81;0.92;0.42;0.62;0.52;0.77;0.77;0.72;0.75;0.01;0.84;-0.06;0.08;10.00;-0.25;10.29;-0.04;21.43;13.69;1.71;6.61;-0.57;1.28;4.57;36.01;3.77;46.65;45.72
4376;0.00;0.00;0.46;0.01;0.36;-0.01;0.43;0.70;0.54;0.87;1.12;1.14;0.45;0.15;0.94;1.44;0.77;0.87;0.13;0.84;0.28;-0.22;0.10;-0.05;7.03;0.74;6.31;-0.02;17.87;13.27;0.95;1.95;1.70;0.50;-1.34;23.56;3.28;32.91;32.09
