MIStateChampionship;MICMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
27;-0.06;0.31;-1.21;5.27;4.20;0.39;0.23;0.65;;0.56;0.70;0.71;;0.57;0.71;0.63;0.57;0.67;0.51;0.68;-0.21;-0.47;0.11;-0.07;13.62;-0.03;10.85;2.80;42.08;10.04;23.94;4.50;3.60;1.14;-2.71;52.99;3.09;73.87;67.35
33;0.10;0.02;-0.03;6.28;6.30;0.48;0.36;0.65;;0.63;0.73;0.65;;-0.19;0.71;0.90;0.66;0.69;-0.25;0.69;0.32;0.24;0.07;0.12;8.77;0.52;7.57;0.68;50.91;8.42;31.32;3.21;7.96;1.17;1.79;61.47;2.44;87.25;80.62
51;0.52;-0.09;3.56;0.19;4.15;0.34;0.34;0.70;;0.68;0.67;0.75;;0.82;0.53;0.26;0.72;0.69;0.87;0.61;0.04;0.32;0.04;-0.11;11.63;0.01;9.87;1.76;25.43;13.03;8.06;4.24;0.10;0.85;1.06;38.13;3.59;60.08;53.39
66;-0.02;-0.22;1.94;1.16;2.92;0.11;0.17;0.71;;0.51;0.62;0.57;;0.26;0.71;0.80;0.49;0.59;0.14;0.69;0.30;1.12;-0.06;0.10;6.80;0.04;9.04;-2.28;25.78;8.59;9.68;3.48;4.03;0.96;6.07;38.66;2.62;54.34;44.85
67;-0.03;0.30;-1.48;5.41;4.21;0.41;0.30;0.71;;0.67;0.65;0.68;;0.21;0.68;0.49;0.62;0.69;0.08;0.69;-0.06;-0.22;-0.02;-0.02;13.40;-0.19;10.75;2.84;44.09;8.53;24.06;1.51;9.99;0.97;-1.20;56.29;2.78;76.42;72.49
68;0.06;-0.01;-0.77;2.73;1.68;0.00;0.33;0.66;;0.64;0.69;0.67;;0.02;0.71;0.65;0.66;0.67;0.01;0.68;-0.02;0.14;0.33;-0.05;11.84;-0.14;11.78;0.21;24.59;7.54;12.13;3.86;1.06;0.84;0.44;36.87;2.69;48.85;43.42
70;0.02;0.48;0.86;2.86;4.30;0.46;0.25;0.68;;0.64;0.73;0.66;;0.43;0.67;0.76;0.68;0.68;0.55;0.70;-0.04;0.19;-0.09;-0.01;16.37;-0.20;11.67;4.90;32.85;10.65;16.00;4.62;1.58;1.03;0.87;50.09;3.30;71.78;66.63
74;0.11;0.06;2.44;0.77;3.24;0.17;0.30;0.66;;0.55;0.64;0.73;;-0.02;0.67;0.17;0.43;0.70;0.14;0.67;0.02;0.80;0.14;0.15;11.45;0.07;10.25;1.13;25.98;7.89;8.73;1.64;7.72;0.84;4.73;42.16;2.60;58.78;52.46
85;-0.06;0.03;-1.19;5.07;3.70;0.21;0.34;0.68;;0.60;0.66;0.59;;0.30;0.63;0.75;0.66;0.59;0.35;0.67;-0.14;-0.05;0.14;0.07;8.67;0.29;8.45;-0.07;38.27;10.51;22.95;3.22;1.59;0.75;0.11;47.04;2.95;65.96;59.15
107;-0.06;0.35;-0.20;3.68;3.70;-0.03;0.35;0.68;;0.64;0.67;0.64;;0.42;0.71;0.70;0.65;0.67;0.31;0.68;0.35;0.77;0.07;-0.10;11.83;0.15;8.47;3.21;32.29;10.68;18.00;3.47;0.14;0.70;3.33;47.45;2.98;66.45;53.59
123;0.24;0.15;2.51;-0.80;2.11;0.14;0.27;0.59;;0.73;0.70;0.65;;0.57;0.60;0.80;0.81;0.69;0.26;0.65;0.37;0.17;-0.01;0.34;10.16;0.62;6.87;2.67;17.75;11.54;1.02;3.14;2.06;0.77;2.56;30.48;3.00;44.57;39.26
217;0.02;0.24;0.58;3.35;4.01;0.11;0.29;0.68;;0.69;0.65;0.66;;0.01;0.43;-0.36;0.70;0.65;-0.07;0.33;-0.02;0.15;0.19;-0.07;8.96;0.93;5.56;2.47;34.98;8.66;17.92;1.84;6.56;0.81;0.41;44.35;2.29;62.59;52.90
494;-0.08;0.41;-0.51;3.61;3.50;0.07;0.37;0.68;;0.85;0.64;0.68;;0.57;0.68;0.60;0.86;0.64;0.57;0.67;0.28;0.11;-0.06;-0.03;13.05;0.00;9.32;3.73;36.40;12.39;17.02;2.53;4.46;0.80;0.41;49.86;3.41;69.30;59.02
503;0.07;0.14;0.45;1.48;2.11;0.02;0.28;0.58;;0.73;0.63;0.69;;0.23;0.61;0.58;0.76;0.67;0.11;0.65;0.23;0.22;0.03;0.02;10.09;0.20;8.14;1.74;25.86;9.78;8.31;1.65;6.12;0.74;1.21;37.16;2.77;50.67;43.24
548;0.03;0.36;0.41;3.27;3.89;0.22;0.36;0.70;;0.70;0.64;0.69;;0.28;0.44;0.65;0.73;0.68;0.34;0.51;0.07;-0.19;0.18;0.29;12.49;0.28;8.47;3.74;31.15;10.59;17.17;4.78;-1.38;0.86;0.52;44.16;2.96;63.73;56.99
573;0.05;0.08;0.45;3.26;3.93;0.08;0.27;0.69;;0.68;0.54;0.67;;0.05;0.71;0.76;0.53;0.60;0.14;0.68;-0.17;0.02;-0.10;0.12;10.99;0.06;9.92;1.01;28.93;8.17;17.18;3.67;-0.09;0.73;0.72;40.64;2.63;59.48;47.84
858;-0.07;-0.06;0.34;4.39;4.42;0.38;0.34;0.68;;0.50;0.68;0.68;;0.45;0.56;0.67;0.57;0.66;0.54;0.60;-0.32;-0.20;0.19;0.06;6.26;0.36;6.91;-1.01;39.86;11.81;22.66;5.87;-0.48;1.14;-0.69;45.43;3.05;66.87;61.66
1023;-0.02;0.35;0.23;4.13;4.70;0.01;0.35;0.66;;0.17;0.70;0.76;;0.49;0.61;0.84;0.29;0.68;0.54;0.67;-0.02;0.26;-0.02;0.12;11.63;0.36;7.91;3.36;37.44;10.29;21.12;1.31;4.72;0.58;1.86;50.93;2.85;72.74;58.13
1025;-0.04;0.34;0.11;2.51;2.92;0.17;0.27;0.67;;0.79;0.49;0.55;;0.34;0.38;0.88;0.87;0.50;0.27;0.50;-0.04;0.10;0.00;-0.06;3.33;0.12;0.00;3.21;36.43;14.07;12.76;2.26;7.34;0.94;0.19;39.95;2.81;56.11;49.56
1250;-0.01;0.14;2.32;0.07;2.54;-0.02;0.37;0.67;;0.77;0.63;0.83;;-0.11;0.53;0.60;0.77;0.69;-0.01;0.58;-0.01;-0.03;-0.02;0.07;5.55;0.09;4.13;1.34;25.18;11.41;5.01;-0.14;8.90;0.56;0.19;30.92;2.70;45.60;37.64
1322;0.04;0.08;0.82;-0.35;0.60;-0.24;0.26;0.67;;0.49;0.65;0.71;;-0.18;0.80;0.65;0.57;0.68;-0.19;0.70;0.06;-0.11;0.00;0.07;6.87;1.23;4.62;1.02;10.97;9.87;-0.09;3.49;-2.30;0.55;-0.19;17.65;2.44;25.61;16.69
1481;-0.02;-0.05;3.46;0.21;3.61;-0.04;0.37;0.70;;0.62;0.68;0.69;;0.45;0.63;0.78;0.61;0.72;0.61;0.65;-0.04;0.11;-0.02;-0.10;7.67;0.47;7.85;-0.65;21.46;12.55;7.96;3.31;-2.37;0.50;0.07;29.21;3.30;48.74;35.49
1684;0.13;0.04;0.72;1.93;2.69;0.19;0.35;0.50;;0.73;0.72;0.70;;0.54;0.41;0.99;0.38;0.70;0.58;0.52;0.54;0.09;0.14;-0.05;10.35;0.32;8.93;1.10;28.66;8.94;11.09;0.95;7.68;0.70;0.24;39.25;2.68;54.35;50.99
1701;0.05;-0.15;0.46;2.65;2.93;0.22;0.35;0.67;;0.70;0.61;0.68;;0.76;0.63;0.66;0.68;0.67;0.50;0.65;0.52;0.62;0.07;-0.06;8.24;0.07;9.43;-1.26;31.07;11.16;14.15;4.50;1.27;0.98;2.76;42.07;3.18;59.18;54.59
1711;0.03;0.10;0.94;0.45;1.31;0.09;0.27;0.59;;0.67;0.49;0.67;;0.47;0.67;0.50;0.71;0.58;0.51;0.66;0.34;0.52;0.21;-0.04;10.54;-0.18;9.53;1.19;16.33;10.50;4.12;3.68;-1.97;0.60;2.41;29.28;3.05;41.01;36.92
1718;0.11;0.03;-0.41;2.95;2.71;0.11;0.28;0.67;;0.77;0.38;0.63;;0.39;0.64;0.68;0.83;0.50;0.27;0.65;0.53;0.16;-0.02;-0.04;11.01;-0.08;10.22;0.87;27.48;9.50;13.93;4.57;-0.52;0.88;0.60;39.09;2.92;54.85;47.56
1918;-0.02;0.61;-0.76;4.28;3.99;0.40;0.36;0.66;;0.78;0.71;0.68;;0.24;0.68;0.69;0.76;0.68;0.16;0.66;0.18;-0.01;0.12;-0.02;17.07;-0.35;11.46;5.96;38.03;8.88;19.88;2.47;6.80;0.95;-0.16;54.94;2.92;74.73;72.19
2054;-0.08;0.58;0.00;4.11;4.58;0.17;0.27;0.65;;0.60;0.65;0.66;;-0.07;0.75;0.83;0.65;0.65;-0.19;0.71;-0.22;-0.04;0.03;0.00;13.78;0.16;8.25;5.37;34.80;8.32;20.55;3.73;2.20;0.89;-0.19;48.38;2.49;68.91;58.02
2137;-0.01;0.74;0.51;1.09;2.12;0.04;0.34;0.49;;0.63;0.66;0.67;;0.89;0.72;0.83;0.63;0.68;0.69;0.70;-0.22;-0.35;0.21;0.02;17.10;0.06;9.70;7.34;21.48;11.16;6.47;2.86;0.99;0.64;-1.62;36.96;3.20;51.59;44.86
2337;0.01;-0.01;3.36;0.32;3.66;0.19;0.33;0.66;;0.63;0.66;0.57;;0.80;0.71;0.76;0.66;0.61;0.70;0.69;0.34;0.27;0.02;0.31;8.30;0.10;8.30;-0.10;26.60;12.47;8.34;4.87;0.91;1.04;2.91;37.80;3.32;57.54;49.15
2474;0.10;0.10;-0.44;3.12;2.89;0.48;0.36;0.68;;0.76;0.67;0.65;;0.27;0.70;0.55;0.71;0.66;0.24;0.69;0.30;0.43;-0.01;0.10;9.55;0.32;7.75;1.48;31.20;10.95;14.71;6.11;-0.57;1.18;2.67;43.42;2.97;59.86;62.45
2586;-0.03;0.36;2.72;0.54;3.59;0.32;0.36;0.58;;0.64;0.68;0.46;;0.84;0.68;0.58;0.75;0.59;0.47;0.66;0.38;-0.29;0.01;0.03;12.82;-0.02;9.32;3.52;24.78;10.63;8.15;3.27;2.73;0.84;-1.26;36.35;3.06;55.22;51.53
2604;-0.01;-0.02;-0.22;0.36;0.09;0.10;0.27;0.59;;0.41;0.67;0.09;;1.39;0.76;0.54;0.31;0.43;1.24;0.69;0.10;-0.37;0.02;-0.17;8.78;0.31;8.70;-0.23;17.87;11.95;1.37;4.02;0.53;0.84;-2.70;23.94;3.26;32.38;31.69
2611;-0.06;0.05;3.61;0.01;3.75;0.02;0.21;0.62;;0.51;0.69;0.69;;0.37;0.67;0.52;0.49;0.70;0.30;0.68;0.98;-0.04;-0.14;0.12;11.00;0.12;10.68;0.20;17.64;8.60;7.25;3.77;-1.98;0.62;0.36;28.99;2.79;47.67;33.55
2612;-0.01;-0.10;2.37;1.35;3.73;0.50;0.37;0.69;;0.69;0.61;0.76;;-0.35;0.59;0.73;0.66;0.69;-0.34;0.65;0.46;0.02;-0.12;0.18;9.92;-0.04;10.99;-1.04;25.02;6.32;11.50;5.92;1.28;1.27;1.00;35.94;2.36;53.49;55.86
2619;0.03;0.35;4.31;0.17;4.80;0.39;0.35;0.68;;0.66;0.81;0.63;;0.28;0.71;0.34;0.73;0.67;0.18;0.69;0.10;0.14;0.06;-0.05;13.15;0.13;9.43;3.59;26.76;10.05;9.49;4.64;2.57;1.10;0.43;40.34;2.95;62.72;57.12
2767;0.10;0.22;-0.21;3.73;3.87;0.23;0.39;0.67;;0.81;0.61;0.61;;0.24;0.74;1.10;0.80;0.61;0.19;0.69;-0.26;0.76;-0.03;0.26;12.30;0.20;9.42;2.68;37.36;10.04;18.20;3.19;5.93;1.03;5.12;54.78;2.95;74.23;68.32
2771;0.00;0.85;-0.63;6.51;6.77;0.20;0.34;0.67;;0.55;0.74;0.63;;-0.27;0.72;0.70;0.58;0.69;-0.23;0.72;0.09;0.94;-0.04;0.01;19.13;0.19;10.44;8.50;44.00;6.91;31.28;3.62;2.19;0.87;4.72;67.85;2.43;95.06;79.62
2834;-0.04;0.42;-0.96;3.38;2.76;0.08;0.35;0.68;;0.67;0.68;0.70;;0.89;0.72;0.57;0.69;0.69;0.59;0.69;0.29;0.89;0.03;0.05;15.75;-0.44;12.20;3.99;26.70;10.61;14.95;4.58;-3.44;0.69;4.73;47.18;3.34;64.17;56.29
2959;-0.08;0.01;-0.75;2.42;1.62;-0.10;0.29;0.63;;0.78;0.75;0.70;;0.42;0.63;0.63;0.27;0.69;0.34;0.64;-0.16;-0.17;-0.02;-0.02;11.36;-0.35;12.03;-0.32;20.06;6.82;10.61;3.28;-0.65;0.61;-0.97;30.45;2.57;41.93;33.85
3098;-0.08;0.17;-0.82;2.57;1.65;-0.06;0.35;0.69;;0.74;0.65;0.64;;0.53;0.63;0.32;0.65;0.66;0.47;0.67;0.08;0.19;0.18;-0.03;11.93;-0.16;10.84;1.25;31.97;10.24;11.19;1.15;9.39;0.86;0.79;44.69;3.13;57.69;50.16
3234;0.08;0.05;3.00;0.20;3.39;0.16;0.37;0.67;;0.68;0.72;0.68;;0.80;0.72;-0.05;0.71;0.68;0.58;0.70;-0.26;0.07;-0.06;0.02;9.50;-0.11;8.74;0.88;28.37;12.32;6.99;1.07;8.00;0.75;0.44;38.31;3.34;57.24;49.67
3357;0.02;0.28;0.88;2.27;3.26;0.22;0.36;0.67;;0.69;0.65;0.66;;-0.39;0.64;0.77;0.65;0.70;-0.37;0.67;0.35;0.21;0.18;0.03;9.22;0.52;5.77;2.92;26.01;8.71;13.10;4.69;-0.49;0.91;1.17;36.40;2.32;52.40;49.25
3414;-0.02;0.42;1.39;0.47;2.11;0.04;0.34;0.66;;0.68;0.74;0.65;;-0.01;0.66;0.77;0.54;0.68;-0.06;0.67;0.10;0.43;0.15;0.03;12.65;0.56;8.02;4.07;19.51;8.43;5.16;3.89;2.03;0.91;2.33;34.49;2.49;47.31;42.25
3452;0.02;-0.28;0.39;3.84;4.00;0.46;0.36;0.68;;0.74;0.68;0.70;;-0.19;0.70;0.58;0.71;0.66;-0.10;0.66;0.13;0.13;-0.04;-0.06;5.03;0.40;7.33;-2.70;36.80;9.42;19.95;4.62;2.81;1.11;0.32;42.15;2.62;61.19;60.90
3534;-0.07;-0.15;3.37;0.09;2.85;0.44;0.33;0.67;;0.60;0.65;0.71;;0.50;0.71;0.57;0.67;0.68;0.43;0.70;-0.01;-0.43;0.40;0.18;4.84;0.82;5.83;-1.81;35.49;12.81;7.21;0.59;14.89;1.11;-1.26;39.07;3.14;55.82;56.65
3536;-0.14;0.39;-0.06;2.63;2.85;0.11;0.27;0.70;;0.68;0.49;0.71;;0.11;0.72;0.83;0.48;0.60;0.19;0.71;0.19;0.03;-0.03;-0.02;13.11;-0.19;10.13;3.17;23.57;8.34;13.02;3.42;-1.21;0.60;0.02;36.70;2.68;52.29;44.77
3538;-0.05;-0.04;0.01;1.25;1.21;0.06;0.34;0.68;;0.69;0.67;0.78;;0.32;0.71;0.69;0.56;0.68;0.36;0.69;0.36;0.24;-0.04;-0.06;6.87;0.34;7.15;-0.61;18.45;11.30;6.28;4.79;-3.92;0.70;0.91;26.23;2.98;37.47;34.65
3539;-0.06;-0.20;-0.82;3.67;2.62;0.02;0.35;0.71;;0.67;0.71;0.69;;0.18;0.72;0.67;0.71;0.65;0.13;0.69;0.20;0.27;-0.04;0.06;5.03;0.65;6.70;-2.32;32.12;11.14;16.69;1.76;2.53;0.52;1.65;38.79;2.90;54.23;46.30
3546;0.71;0.06;2.39;1.02;4.20;0.27;0.34;0.68;;0.68;0.68;0.65;;1.22;0.72;0.42;0.74;0.67;1.03;0.54;0.26;0.38;-0.03;0.07;15.47;-0.17;11.54;4.10;27.45;12.49;9.88;5.10;-0.02;1.02;2.29;45.21;3.65;67.48;58.70
3548;-0.06;-0.02;3.52;0.83;4.18;0.32;0.35;0.69;;0.77;0.70;0.72;;-0.06;0.60;0.52;0.76;0.69;-0.02;0.65;0.08;0.06;0.09;0.09;9.24;-0.06;9.81;-0.51;25.83;8.95;11.21;4.32;1.36;0.95;0.75;35.83;2.77;55.82;50.82
3602;0.02;-0.02;2.17;0.34;2.44;0.07;0.27;0.61;;0.74;0.72;0.65;;-0.25;0.76;0.75;0.83;0.66;-0.28;0.69;0.84;0.33;0.07;-0.13;8.53;0.28;8.38;-0.13;21.28;8.37;6.05;3.56;3.30;0.93;1.01;30.83;2.51;44.72;37.98
3604;0.00;0.04;2.45;0.50;2.95;0.15;0.25;0.65;;0.57;0.73;0.63;;0.42;0.74;0.81;0.54;0.68;0.50;0.69;0.31;-0.05;0.03;-0.05;11.20;-0.03;10.89;0.34;31.75;9.92;7.40;0.85;13.57;1.08;-0.50;42.46;3.07;59.36;51.08
3618;0.01;0.48;1.17;1.24;2.86;0.09;0.26;0.57;;0.78;0.66;0.66;;0.25;0.75;0.71;0.72;0.69;0.07;0.69;-0.10;0.08;0.03;0.14;15.70;-0.10;10.98;4.82;19.65;8.19;8.53;3.14;-0.22;0.61;1.11;36.46;2.74;52.25;43.76
3620;0.06;0.38;-0.54;5.85;5.53;0.48;0.26;0.66;;0.57;0.66;0.66;;-0.01;0.67;1.30;0.61;0.69;0.11;0.69;0.35;0.14;0.22;0.16;13.54;0.23;9.20;4.10;42.73;9.21;28.17;6.24;-0.88;1.19;1.52;57.79;2.76;81.99;75.04
3641;0.08;-0.02;-0.79;6.22;5.52;0.50;0.36;0.68;;0.69;0.71;0.49;;0.41;0.66;0.65;0.71;0.63;0.44;0.66;-0.10;0.17;-0.03;0.04;9.01;0.49;8.26;0.25;46.01;11.52;29.53;5.80;-0.84;1.10;1.02;56.04;3.13;81.13;75.91
3655;-0.10;0.32;-1.11;3.11;2.15;0.04;0.25;0.66;;0.23;0.72;0.67;;0.17;0.73;0.63;0.30;0.68;0.10;0.69;0.58;0.08;0.07;0.03;11.33;0.09;8.52;2.73;23.55;7.91;13.34;3.26;-0.96;0.59;0.57;35.45;2.43;48.26;41.50
3656;0.08;0.35;-0.18;2.54;2.72;0.02;0.35;0.56;;0.57;0.68;0.69;;0.55;0.61;0.74;0.67;0.68;0.31;0.64;0.48;0.03;0.07;-0.01;13.12;0.15;9.08;3.88;25.73;9.76;12.35;2.72;0.91;0.60;0.06;38.91;2.86;54.56;46.31
3668;0.07;-0.19;1.64;0.97;2.44;0.24;0.34;0.67;;0.74;0.61;0.63;;0.05;0.62;0.80;0.82;0.65;0.12;0.66;0.74;0.13;0.04;0.04;6.93;0.46;8.04;-1.57;23.65;10.60;8.13;5.14;-0.22;1.01;0.83;31.41;2.92;46.35;44.39
