MITroy;MITRY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
33;0.00;0.25;0.09;3.80;4.23;0.20;0.59;0.77;0.04;1.18;1.23;0.73;0.35;-0.14;0.85;0.67;1.08;0.90;-0.21;0.88;-0.23;0.26;-0.10;0.19;8.58;1.05;5.08;2.45;44.24;14.60;19.15;1.98;8.50;0.96;2.23;55.05;3.43;76.82;71.81
217;0.00;0.16;-0.52;4.56;4.35;0.10;0.63;0.62;-0.99;1.06;0.62;0.86;1.25;0.30;1.06;0.67;0.24;0.86;0.38;0.97;0.19;0.45;-0.16;-0.12;9.39;0.52;7.28;1.58;41.82;11.69;21.73;2.68;5.72;0.92;1.65;52.86;3.07;74.13;67.93
226;0.00;0.08;1.30;0.67;2.06;0.05;0.26;0.77;0.33;0.71;0.88;0.04;0.05;0.79;0.18;0.67;0.46;0.36;0.51;0.53;-0.01;-0.11;-0.01;0.09;8.95;0.35;7.82;0.78;20.05;9.27;5.96;5.02;-0.20;0.99;-0.10;28.91;2.64;41.93;35.35
240;0.00;-0.04;0.02;0.66;0.72;0.03;0.19;0.32;0.07;0.72;-0.05;0.81;0.60;-0.39;0.96;0.67;0.60;0.54;-0.08;0.85;-0.05;0.17;-0.08;-0.06;10.14;-0.34;10.90;-0.42;13.74;5.77;3.34;3.53;1.10;0.78;0.54;24.42;2.24;32.29;29.06
322;0.00;0.06;0.40;0.24;0.78;-0.02;0.26;0.45;0.54;-0.12;0.79;0.65;0.13;0.57;0.78;0.67;0.08;0.83;0.34;0.79;-0.05;-0.05;-0.07;0.08;8.57;0.67;7.26;0.64;11.88;8.84;2.01;0.65;0.38;0.15;0.14;20.59;2.49;29.25;25.24
469;0.00;-0.01;1.91;0.18;2.09;-0.08;0.06;0.62;1.30;0.80;0.30;1.43;-0.56;0.23;0.79;0.67;0.57;0.71;0.04;0.69;0.03;0.23;-0.01;0.25;9.01;0.24;8.85;-0.09;16.65;8.74;4.71;1.19;2.02;0.37;2.42;28.09;2.63;41.19;27.19
573;0.00;-0.02;0.64;0.78;1.34;0.02;0.52;0.78;-0.03;1.13;0.66;0.85;-0.38;0.92;0.12;0.67;0.87;0.83;0.69;0.32;0.25;0.05;0.04;0.16;11.86;-0.36;12.46;-0.23;23.16;11.16;5.15;6.10;0.74;1.27;1.05;36.07;3.48;48.96;46.95
862;0.00;-0.02;-0.44;0.50;-0.05;-0.03;0.26;0.74;-0.13;0.35;0.94;0.90;0.29;0.04;0.86;0.67;0.32;0.98;0.22;1.01;-0.12;0.54;0.09;0.08;9.11;-0.20;9.47;-0.17;16.20;11.63;1.61;4.53;-1.58;0.80;3.12;28.42;3.27;36.45;32.84
910;0.00;0.10;0.60;1.72;2.53;0.02;0.40;0.70;1.75;1.07;0.20;0.75;0.33;0.10;0.33;0.67;0.97;0.94;-0.08;0.60;0.12;0.26;-0.11;-0.12;11.41;-0.19;10.63;0.96;22.94;10.33;9.81;4.03;-1.23;0.72;0.67;35.02;3.13;50.75;43.59
1528;0.00;-0.02;0.87;-0.55;0.27;-0.08;0.00;0.57;-0.70;-0.08;0.66;0.26;0.69;0.04;0.70;0.67;0.05;0.76;-0.11;0.75;0.39;-0.01;0.03;-0.03;5.77;0.24;5.77;-0.23;4.60;7.21;-0.99;-0.98;-0.63;-0.24;-0.21;10.17;2.02;16.07;8.08
