MexicoCity;MXMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
2283;0.00;0.00;0.16;0.12;0.06;0.00;0.51;0.63;1.49;1.42;1.08;1.15;-0.45;0.70;0.88;;1.15;1.05;0.19;0.83;0.31;-0.20;0.21;0.00;11.03;-0.32;11.35;0.00;20.04;13.54;0.91;5.91;-0.32;1.16;-1.01;30.06;3.84;39.86;40.33
3158;0.00;0.00;0.97;0.92;1.80;0.00;0.52;0.74;-0.19;1.06;0.43;-0.48;0.64;1.26;0.82;;0.81;0.56;1.08;0.83;0.05;0.75;0.09;0.09;5.95;0.19;5.76;0.00;30.50;17.27;6.54;6.96;-0.27;1.38;4.23;40.68;4.03;56.37;51.04
3354;0.00;0.00;-0.19;-0.10;-0.28;0.00;-0.20;0.15;0.34;0.17;0.82;0.22;-0.20;0.27;0.96;;-0.50;0.52;0.20;0.68;0.13;-0.17;-0.01;-0.02;0.17;2.16;-1.98;0.00;6.29;6.24;-0.90;2.28;-1.33;0.37;-0.94;5.53;1.05;7.28;1.61
3472;0.00;0.00;0.31;0.10;0.38;0.00;-0.10;0.81;-0.70;0.03;0.06;0.22;-0.11;0.03;0.08;;-0.18;0.46;0.01;0.37;0.74;0.28;0.04;-0.04;4.96;-0.05;5.01;0.00;5.77;4.88;1.13;0.34;-0.58;0.03;1.21;11.94;1.48;16.81;9.95
3478;0.00;0.00;0.05;0.37;0.46;0.00;0.29;0.77;1.42;-0.04;1.93;0.42;1.20;0.38;0.50;;0.66;0.54;0.74;0.55;0.05;0.40;-0.05;-0.06;6.75;0.51;6.24;0.00;21.57;13.15;1.93;1.28;5.21;0.60;1.68;30.00;3.25;39.59;35.80
3480;0.00;0.00;0.33;-0.15;0.22;0.00;0.26;0.81;-0.40;0.44;0.74;0.62;-0.28;1.02;0.40;;0.13;0.53;0.68;0.54;0.52;0.36;-0.04;0.04;5.67;0.07;5.59;0.00;17.77;10.66;-0.08;2.79;4.40;0.85;2.02;25.46;2.69;32.88;30.65
3510;0.00;0.00;0.21;-0.14;0.03;0.00;0.00;0.56;-0.13;0.11;1.02;-0.25;-0.75;0.16;0.82;;-0.05;-0.08;-0.39;0.68;-0.06;0.54;0.04;0.06;0.20;-0.81;1.00;0.00;4.12;3.15;-0.30;1.09;0.18;0.23;2.99;7.30;0.73;9.21;7.21
3522;0.00;0.00;0.97;0.19;1.15;0.00;-0.03;0.38;0.60;-0.13;1.67;0.77;0.19;0.25;0.39;;-0.07;0.77;0.35;0.67;0.74;-0.10;0.01;0.02;6.55;0.64;5.91;0.00;15.30;7.56;2.88;4.54;0.31;0.93;-0.36;21.49;2.10;30.34;20.91
3526;0.00;0.00;-0.05;0.03;0.07;0.00;0.09;0.71;-0.62;0.45;0.50;0.41;0.49;-0.89;0.09;;0.33;0.24;0.28;0.00;-0.18;-0.06;-0.09;0.05;-0.40;-0.15;-0.24;0.00;7.05;7.92;0.03;-0.74;-0.17;-0.16;-0.03;6.62;1.56;10.74;8.46
3527;0.00;0.00;0.57;0.06;0.52;0.00;0.20;0.18;0.50;0.39;0.30;0.60;0.73;1.61;0.21;;0.59;0.69;0.75;0.39;-0.01;-0.10;0.11;0.01;3.07;0.99;2.08;0.00;17.29;11.98;1.46;3.95;-0.10;0.78;-0.45;19.91;2.60;28.05;23.88
3794;0.00;0.00;-0.21;-0.07;-0.46;0.00;0.02;0.73;-0.21;-0.28;-0.27;0.97;0.06;0.24;0.03;;0.02;0.69;-0.36;0.29;0.62;0.21;0.18;-0.04;4.86;1.46;3.39;0.00;8.66;5.21;-0.76;2.93;1.28;0.67;0.81;14.33;1.38;16.35;14.68
3933;0.00;0.00;0.21;0.33;0.49;0.00;-0.17;0.61;-0.29;-0.43;0.15;1.12;0.77;-0.52;0.86;;-0.34;0.86;0.01;0.70;0.25;0.28;0.05;0.01;5.91;1.06;4.85;0.00;10.01;6.79;2.07;1.77;-0.62;0.31;1.49;17.40;1.84;23.54;13.96
4010;0.00;0.00;0.26;0.03;0.20;0.00;0.11;0.99;0.77;-0.06;1.20;1.02;0.51;0.86;0.89;;0.18;0.96;0.45;0.46;-0.07;0.07;0.08;0.08;5.95;1.32;4.63;0.00;14.51;12.86;0.66;1.41;-0.42;0.25;0.75;21.22;3.04;29.43;23.36
4262;0.00;0.00;0.09;-0.14;-0.04;0.00;0.29;0.59;0.82;-0.01;1.42;0.52;0.15;-0.22;0.39;;0.57;0.62;0.01;0.66;0.39;-0.11;-0.01;-0.07;2.83;0.17;2.66;0.00;12.08;10.88;-0.54;2.54;-0.79;0.45;-0.92;13.99;2.44;19.97;19.71
4355;0.00;0.00;0.33;-0.01;0.33;0.00;0.12;0.38;0.28;-0.11;1.46;0.27;0.23;0.68;0.58;;0.20;0.58;0.52;0.70;-0.47;0.01;-0.01;0.30;1.64;1.86;-0.22;0.00;16.25;12.01;0.63;3.73;-0.12;0.74;1.55;19.43;2.38;26.42;21.78
4371;0.00;0.00;-0.44;0.00;-0.38;0.00;0.02;0.62;0.27;-0.24;-0.50;0.37;0.35;0.19;0.34;;0.09;0.19;0.47;0.06;0.29;0.11;-0.06;0.02;1.97;1.27;0.70;0.00;7.96;6.77;-0.88;1.63;0.44;0.35;0.67;10.60;1.42;12.97;11.06
4400;0.00;0.00;0.62;0.25;0.75;0.00;-0.09;0.83;1.40;-0.30;-0.08;0.67;0.84;0.45;-0.77;;-0.01;0.42;0.22;0.36;-0.28;0.50;0.12;0.02;4.98;1.00;3.98;0.00;11.90;7.08;2.50;2.13;0.19;0.44;2.57;19.45;1.81;26.34;17.68
4401;0.00;0.00;0.01;0.01;0.02;0.00;0.27;0.40;0.08;0.00;0.90;0.34;0.05;0.79;0.76;;0.18;0.27;0.48;0.67;0.59;0.42;0.00;0.06;7.51;-0.35;7.86;0.00;12.65;6.12;0.09;4.50;1.94;1.03;2.42;22.57;2.01;27.67;27.88
