Midwest;ILCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
101;0.03;-0.08;2.42;-0.14;2.29;-0.23;0.50;0.69;366.88;0.67;0.80;1.14;;0.58;0.87;1.38;0.68;0.93;0.24;0.79;0.35;-0.17;-0.06;0.07;6.78;-0.13;7.52;-0.62;24.16;12.92;4.14;5.82;1.28;1.25;-0.49;30.45;3.34;45.96;34.68
111;-0.01;0.71;1.61;3.66;6.00;0.37;0.43;0.73;88.96;1.31;1.06;0.78;;-0.12;0.69;0.08;1.02;0.79;0.11;0.68;0.23;1.10;-0.04;-0.08;8.07;-0.08;1.16;7.00;42.83;16.07;21.52;3.56;1.68;0.82;5.08;55.99;3.33;83.05;73.82
171;-0.01;0.14;3.08;-0.13;3.12;0.17;0.25;0.65;679.94;0.81;0.86;1.09;;0.51;0.56;1.15;0.55;0.86;0.51;0.66;-0.31;0.10;-0.04;-0.07;9.96;0.24;8.38;1.34;22.72;11.99;5.52;5.05;0.16;1.02;0.14;32.81;3.24;50.64;42.02
291;0.00;-0.10;-0.14;0.40;0.21;-0.07;0.23;0.55;359.75;1.14;0.83;1.02;;0.05;0.91;0.86;0.70;0.85;0.13;0.86;-0.19;0.66;-0.04;0.05;6.43;-0.14;7.59;-1.02;16.46;11.63;1.75;4.19;-1.11;0.76;3.57;26.46;3.09;34.82;29.34
375;0.10;-0.02;0.94;0.48;1.52;-0.10;0.23;0.70;49.23;0.12;0.75;1.10;;0.03;1.04;1.43;0.21;0.97;0.08;0.93;0.34;0.05;-0.03;-0.05;10.06;0.17;9.62;0.27;16.81;9.62;4.27;3.35;-0.43;0.64;0.03;26.90;2.89;38.88;28.98
379;-0.02;-0.01;0.04;3.40;3.48;0.11;0.37;0.75;-1438.63;0.62;0.46;0.80;;0.02;0.64;0.14;0.62;0.77;0.06;0.60;0.01;0.06;-0.06;0.01;10.23;0.11;10.30;-0.18;36.95;8.93;17.11;0.65;10.26;0.81;0.36;47.54;2.82;65.45;57.51
931;0.01;0.07;0.87;0.24;1.12;0.04;0.40;0.66;-267.50;0.98;0.28;0.87;;0.97;0.82;0.84;0.87;0.62;1.04;0.74;-0.23;0.13;0.08;0.06;5.91;0.48;4.61;0.81;24.63;17.33;2.94;5.75;-1.38;1.06;0.94;31.48;3.93;44.79;40.70
1625;0.00;0.25;0.33;2.38;2.94;0.04;0.37;0.67;-457.75;0.69;0.64;0.86;;0.01;0.79;0.72;0.59;0.73;0.04;0.72;-0.09;-0.30;0.02;-0.01;11.60;0.26;8.83;2.51;29.29;9.35;12.54;4.19;3.20;1.05;-1.55;39.34;2.75;55.40;47.62
1736;0.09;0.55;2.39;2.48;5.55;0.72;0.47;0.76;-757.88;0.95;0.90;0.71;;0.28;0.79;0.50;0.71;0.80;0.20;0.69;0.12;0.22;-0.03;-0.04;14.25;-0.01;8.29;5.98;39.01;11.67;17.20;5.16;4.98;1.36;0.91;54.17;3.16;79.41;81.61
1739;-0.04;-0.12;0.10;-0.24;-0.26;-0.05;0.15;0.69;839.00;0.17;0.55;0.15;;0.65;0.20;0.59;-0.01;0.45;0.82;0.45;-0.05;-0.04;-0.04;0.04;3.04;1.21;3.21;-1.39;13.01;10.40;-0.99;4.68;-1.09;0.86;0.00;16.05;2.40;21.25;17.86
