PCHDalton;GADAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
832;0.00;0.00;0.83;0.10;0.95;-0.01;0.28;0.70;;0.75;0.73;1.12;-0.09;0.38;0.82;0.39;0.81;0.91;0.12;0.80;0.35;0.28;-0.03;0.07;4.07;-0.11;4.18;0.00;19.82;14.57;2.14;3.25;-0.13;0.64;1.77;25.65;3.33;36.96;31.08
1127;0.00;0.00;0.11;-0.16;-0.04;0.00;0.16;0.52;;-0.16;0.67;0.32;-0.20;0.09;0.51;0.17;-0.06;0.50;-0.10;0.55;0.00;0.11;-0.01;-0.02;5.04;0.36;4.68;0.00;4.43;4.75;-0.57;0.39;-0.14;0.07;0.45;9.91;1.42;13.34;13.06
1311;0.00;0.00;0.92;-0.16;0.76;0.00;0.03;0.50;;0.64;0.64;0.88;0.12;-0.31;0.77;0.46;0.48;0.78;-0.15;0.77;0.21;0.22;0.00;-0.02;6.65;0.34;6.31;0.00;11.65;8.72;1.03;2.14;-0.25;0.41;1.01;19.31;2.38;27.63;19.90
1414;0.00;0.00;-0.27;0.13;-0.13;-0.02;0.02;0.62;;-0.43;1.00;0.42;0.02;0.21;0.71;0.68;-0.20;0.48;0.25;0.75;0.04;0.01;0.00;0.08;0.97;0.36;0.61;0.00;9.97;9.25;0.12;0.73;-0.13;0.14;0.43;11.37;1.91;15.73;11.39
1683;0.00;0.00;0.91;0.12;1.05;0.00;0.05;0.63;;-0.03;1.12;0.76;-0.62;0.44;0.40;0.97;0.08;0.82;0.19;0.49;0.36;0.60;-0.01;-0.01;4.47;0.95;3.52;0.00;14.73;9.25;2.44;3.08;-0.04;0.61;2.96;22.16;2.20;30.94;23.18
1771;0.00;0.00;0.30;0.99;1.32;-0.01;0.40;0.73;;1.21;0.44;0.55;0.16;0.66;0.82;0.81;0.82;0.62;0.32;0.82;-0.37;0.46;-0.03;-0.01;6.78;-0.18;6.96;0.00;23.90;13.12;5.57;4.03;1.18;0.88;2.25;32.92;3.32;45.35;40.69
2974;0.00;0.00;0.14;2.44;2.61;-0.01;0.60;0.78;;1.46;0.70;0.99;-0.17;0.79;1.00;0.47;1.44;0.84;-0.04;0.89;0.06;-0.05;-0.02;-0.02;7.04;0.11;6.93;0.00;33.39;16.11;12.50;4.80;-0.02;0.96;-0.33;40.11;3.92;58.05;51.93
3265;0.00;0.00;-0.02;0.02;0.02;-0.02;0.30;0.73;;0.03;0.40;0.86;0.23;0.75;0.17;0.59;0.26;0.56;0.48;0.26;0.77;0.10;-0.02;-0.02;2.71;0.18;2.53;0.00;12.52;10.13;0.07;2.34;-0.03;0.47;0.43;15.66;2.28;21.43;21.26
3573;0.00;0.00;-0.07;-0.01;-0.06;0.00;-0.10;0.47;;-0.15;0.39;0.48;-0.15;-0.22;0.57;0.41;-0.21;0.26;-0.14;0.56;-0.08;0.26;-0.02;-0.01;1.85;1.34;0.51;0.00;5.17;4.41;-0.20;1.23;-0.27;0.23;1.27;8.28;0.93;10.42;6.25
3694;0.00;0.00;0.09;0.01;0.12;-0.01;0.19;0.55;;0.55;0.50;0.88;0.82;0.42;0.48;0.21;0.43;0.71;0.56;0.58;0.18;0.08;-0.02;0.00;4.13;-0.16;4.29;0.00;11.69;11.96;0.22;-0.47;-0.02;-0.10;0.38;16.21;2.82;23.64;19.74
4080;0.00;0.00;0.15;-0.18;-0.02;0.01;0.14;0.54;;-0.06;0.26;0.50;0.67;0.34;0.73;0.55;-0.18;0.49;0.38;0.67;0.48;-0.03;-0.01;-0.01;5.75;0.20;5.55;0.00;8.93;6.74;-0.60;2.80;-0.01;0.56;-0.18;14.50;1.90;19.18;17.37
4189;0.00;0.00;0.41;-0.24;0.18;-0.01;0.38;0.78;;0.11;0.26;0.76;0.66;0.67;0.61;0.74;0.21;0.74;0.68;0.73;-0.22;0.17;-0.01;-0.02;6.58;-0.28;6.86;0.00;17.51;12.26;-0.39;4.28;1.35;0.95;0.77;24.85;3.14;33.26;32.23
4193;0.00;0.00;0.19;-0.06;0.16;0.00;-0.02;0.62;;0.06;0.62;0.21;-1.04;0.01;0.34;-0.04;0.22;0.35;-0.22;0.30;0.54;-0.47;-0.03;0.00;1.81;1.49;0.32;0.00;8.24;6.22;0.08;2.04;-0.10;0.40;-2.34;7.70;1.28;11.38;7.21
