PNWMountVernon;WAMOU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
492;0.00;0.03;2.82;0.22;3.12;-0.01;0.10;0.66;;0.40;0.71;0.59;;-0.16;0.32;0.67;0.39;0.71;-0.21;0.48;0.24;0.03;-0.06;0.12;1.04;0.75;0.01;0.28;19.01;10.09;6.74;2.18;0.00;0.44;0.74;20.80;2.02;35.61;22.54
568;0.08;0.00;1.44;-0.10;1.40;-0.03;0.21;0.66;;-0.05;0.83;0.72;;0.66;0.83;0.67;0.07;0.71;0.51;0.76;0.17;-0.15;0.03;-0.10;5.53;0.46;4.60;0.46;13.70;11.23;2.37;0.10;0.00;0.02;-1.29;17.94;2.71;29.07;21.34
948;-0.01;-0.02;1.32;0.29;1.55;-0.03;0.44;0.67;;0.75;0.79;0.84;;0.02;0.67;0.67;0.68;0.77;0.11;0.67;-0.20;-0.10;0.03;0.16;8.19;0.51;7.90;-0.22;19.10;10.57;4.08;4.45;0.00;0.89;0.30;27.60;2.90;39.71;35.71
1294;0.08;0.03;2.05;0.41;2.58;-0.02;0.28;0.68;;-0.05;0.92;0.75;;0.36;0.42;0.67;0.02;0.77;0.27;0.54;-0.07;0.24;0.00;0.03;8.14;0.08;7.31;0.74;17.70;7.69;6.14;3.87;0.00;0.77;1.36;27.20;2.27;40.93;32.13
1778;0.00;0.03;-0.09;1.40;1.33;0.15;0.29;0.59;;0.68;0.79;0.66;;0.31;0.76;0.67;0.76;0.66;0.38;0.75;-0.18;0.26;0.00;0.11;9.78;-0.03;9.50;0.32;21.63;10.95;6.79;3.88;0.00;0.78;1.83;33.24;3.14;45.24;42.92
2605;-0.01;-0.03;-0.91;1.66;0.63;0.07;0.09;0.70;;0.47;0.59;0.67;;0.34;0.45;0.67;0.46;0.66;0.19;0.44;0.35;-0.12;0.09;-0.09;6.07;1.22;5.19;-0.35;20.33;9.68;6.49;4.16;0.00;0.83;-1.04;25.36;2.46;33.46;28.75
2660;0.08;-0.03;0.20;-0.80;-0.65;-0.02;0.03;0.59;;0.50;0.10;0.44;;0.34;0.61;0.67;0.40;0.30;0.24;0.61;0.08;0.22;0.09;0.09;4.82;1.03;3.71;0.08;5.40;8.91;-3.59;0.08;0.00;0.02;1.55;11.78;2.15;15.14;11.83
2903;0.00;-0.06;1.50;0.23;1.57;0.06;0.33;0.59;;0.39;0.65;0.65;;0.94;0.55;0.67;0.24;0.68;0.91;0.68;-0.15;0.22;0.10;-0.07;8.91;0.11;9.46;-0.66;20.01;10.82;4.16;5.03;0.00;1.01;0.76;29.69;3.11;42.36;37.72
2907;0.00;-0.04;-0.13;0.97;0.70;-0.01;0.44;0.67;;0.60;0.82;0.44;;1.10;0.74;0.67;0.49;0.63;0.98;0.75;0.06;0.36;0.09;-0.08;6.95;0.59;6.78;-0.41;20.94;14.25;4.59;2.10;0.00;0.42;1.41;29.29;3.53;40.30;38.00
2928;-0.01;-0.02;2.64;0.26;2.85;0.15;0.43;0.68;;1.17;0.60;0.83;;-0.12;0.70;0.67;1.01;0.73;-0.07;0.68;0.08;0.20;0.01;-0.06;9.15;-0.08;9.47;-0.24;21.37;10.38;6.55;4.44;0.00;0.89;0.70;31.22;3.02;47.70;43.55
2976;-0.01;0.01;1.21;0.46;1.57;-0.01;0.31;0.69;;1.07;0.42;0.66;;-0.17;0.30;0.67;1.15;0.56;-0.12;0.47;0.22;0.03;0.09;0.11;1.26;1.13;0.10;0.02;21.56;13.69;4.72;3.14;0.00;0.63;0.69;23.51;2.75;35.29;29.28
2980;-0.01;-0.03;-0.19;0.24;-0.12;-0.04;0.13;0.59;;0.81;0.33;0.72;;0.19;0.44;0.67;0.67;0.54;0.19;0.54;0.17;0.06;0.13;-0.03;0.40;0.43;0.34;-0.37;17.42;12.45;0.83;4.14;0.00;0.83;0.16;17.99;2.52;23.91;19.48
3070;0.00;0.12;-0.02;-0.13;0.05;-0.03;0.44;0.68;;0.53;0.73;0.73;;0.11;0.56;0.67;0.54;0.76;0.13;0.63;0.35;0.09;-0.09;-0.05;8.09;0.32;6.59;1.18;14.18;10.41;-0.71;4.48;0.00;0.90;0.20;22.47;2.74;29.50;30.46
