Palmetto;SCMB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
120;0.00;-0.12;0.17;2.68;2.78;0.00;0.02;0.76;-0.03;0.28;0.52;;1.45;0.15;0.41;-0.35;-0.03;0.39;0.38;0.91;0.49;0.16;-0.05;0.18;8.96;0.16;9.98;-1.19;25.30;7.17;13.73;5.22;-0.83;0.99;1.70;35.95;2.43;50.73;36.27
179;-0.03;0.44;0.37;1.81;2.48;0.00;0.42;0.67;1.81;-0.20;0.87;;2.09;0.57;0.92;0.36;0.35;1.13;0.71;0.96;0.09;0.81;0.10;0.47;15.06;0.37;10.45;4.24;34.91;13.87;9.78;2.27;8.99;1.05;6.41;56.39;3.82;73.70;64.71
237;-0.03;0.75;0.10;0.31;1.14;0.00;0.28;0.75;0.44;0.15;0.89;;-0.24;-0.31;0.03;0.88;0.27;0.55;-0.04;0.33;-0.08;0.24;-0.02;-0.02;10.81;-0.52;4.00;7.33;11.18;7.16;1.75;4.00;-1.74;0.69;1.08;23.08;1.83;31.23;28.60
283;0.01;-0.03;-0.13;0.15;-0.09;0.00;0.21;0.71;0.83;-0.17;0.31;;0.87;0.73;1.22;-0.38;0.39;0.74;0.35;0.73;0.08;0.09;0.09;0.04;2.90;1.64;1.49;-0.23;20.55;13.78;0.49;3.42;2.86;0.88;0.68;24.13;2.91;31.12;28.37
342;-0.01;-0.09;0.77;-0.37;0.14;0.00;0.04;0.24;0.10;0.95;0.38;;0.00;0.09;1.28;-0.97;0.28;0.32;0.61;0.89;0.19;0.00;0.17;0.34;2.54;0.46;3.03;-0.95;10.72;10.23;-0.30;1.84;-1.05;0.30;1.66;14.92;2.35;21.22;15.72
343;-0.05;-0.03;0.54;0.33;0.57;0.00;0.38;0.65;1.05;0.40;0.78;;0.45;1.74;0.77;0.14;0.20;0.73;0.84;0.63;0.20;-0.02;0.23;0.35;6.96;0.74;6.74;-0.51;22.44;11.99;2.76;3.36;4.33;0.96;1.67;31.07;3.07;40.54;38.64
900;-0.04;0.08;-0.79;0.51;-0.18;0.00;0.10;0.14;-0.62;0.02;0.39;;1.34;1.13;0.04;-0.08;-0.04;0.35;0.49;0.37;-0.01;-0.10;-0.05;0.09;1.55;-0.21;1.11;0.64;7.26;5.77;0.98;1.30;-0.79;0.21;-0.07;8.73;1.27;11.32;10.79
1051;0.00;-0.02;0.11;-0.25;-0.63;0.00;0.16;0.64;1.20;0.71;0.67;;-2.17;0.23;0.73;1.57;0.61;0.52;0.00;0.75;0.12;0.19;0.48;0.06;0.55;0.02;0.76;-0.22;9.85;12.32;-1.00;0.91;-2.37;0.02;1.25;11.66;2.54;16.03;14.86
1102;0.03;0.12;-0.05;0.54;0.39;0.00;0.37;0.61;1.80;0.80;0.89;;2.13;0.10;0.73;1.27;1.39;0.67;0.48;0.64;0.40;0.08;0.25;-0.17;11.77;0.21;10.24;1.33;21.72;13.77;2.60;5.91;-0.56;1.15;-0.44;33.05;3.78;43.71;40.46
1287;-0.01;-0.01;0.54;-0.21;0.36;0.00;0.24;0.13;-0.23;-0.47;0.86;;1.46;0.67;0.73;-0.41;0.10;1.00;0.55;0.81;0.14;0.18;-0.05;0.03;12.75;-0.43;13.34;-0.16;13.25;6.17;0.01;3.77;3.31;0.98;1.06;27.06;2.57;34.58;31.79
1296;0.00;0.26;1.14;0.04;1.41;0.00;0.70;0.92;1.32;0.81;1.02;;-0.18;0.17;0.62;0.04;0.86;0.82;0.18;0.78;-0.17;-0.01;0.03;-0.02;9.52;-0.13;7.03;2.62;24.46;14.37;2.48;4.09;3.52;1.05;-0.15;33.83;3.58;47.18;47.82
1369;-0.01;-0.15;0.22;-0.06;0.13;0.00;-0.01;0.34;-2.86;0.56;0.59;;0.21;0.34;0.56;0.84;-0.05;0.48;0.21;0.68;0.13;0.76;-0.15;0.07;2.16;0.22;3.51;-1.57;6.65;6.35;0.11;0.14;0.05;0.03;4.19;13.01;1.62;17.48;12.84
1398;-0.02;-0.01;-0.31;-0.39;-0.88;0.00;-0.26;0.31;-0.20;0.31;-0.20;;-2.48;0.67;0.35;1.61;-0.29;-0.16;0.33;0.42;0.05;-0.05;0.16;0.05;0.70;0.10;0.74;-0.14;-0.91;2.75;-2.57;0.41;-1.50;-0.02;0.04;-0.17;0.62;-1.35;-5.38
1539;0.02;-0.13;0.22;1.20;1.45;0.00;0.17;0.37;0.62;0.38;0.08;;-3.43;0.15;0.98;0.51;0.59;0.42;-0.15;0.58;-0.06;-0.09;-0.13;0.04;-2.69;2.41;-3.94;-1.16;23.05;11.07;6.46;1.74;3.78;0.60;-0.24;20.12;1.82;29.21;23.57
1553;0.00;-0.08;0.41;0.42;0.40;0.00;0.10;0.69;0.52;-0.08;0.72;;-0.02;0.33;1.07;1.92;0.44;0.52;0.06;0.79;-0.06;0.35;0.35;0.16;3.09;0.86;3.02;-0.79;16.95;12.30;2.93;3.80;-2.08;0.62;2.55;22.60;2.76;30.76;24.61
1758;-0.01;-0.13;-0.72;-0.05;-0.79;0.00;0.27;0.59;0.64;1.69;0.41;;-0.80;0.90;1.18;1.12;0.99;0.45;0.27;0.82;-0.17;-0.14;-0.12;0.18;3.45;0.28;4.49;-1.32;9.97;13.39;-1.70;-0.30;-1.41;-0.15;0.20;13.62;3.13;18.98;19.05
1876;0.00;0.06;-0.49;2.61;2.36;0.00;0.06;0.46;0.05;-0.56;1.18;;0.56;1.04;1.06;-0.06;-0.15;0.71;0.63;0.88;-0.16;0.14;-0.17;0.17;8.73;0.90;7.18;0.65;36.28;9.15;12.08;-1.08;16.13;0.86;1.54;46.54;2.55;60.29;47.81
2172;-0.01;0.07;0.96;0.04;0.96;0.00;0.46;0.50;1.59;0.79;0.63;;3.29;0.50;0.60;1.10;0.48;0.78;0.56;0.58;0.02;-0.33;0.10;-0.25;13.74;0.19;12.92;0.62;13.45;8.08;2.11;5.67;-2.41;0.97;-2.92;24.27;2.91;34.55;33.52
2187;0.01;0.00;0.40;0.85;1.01;0.00;-0.05;0.86;0.84;-0.13;0.25;;5.66;-0.23;1.18;-0.58;0.26;0.29;0.01;0.48;0.09;0.10;0.25;0.22;-0.90;0.28;-1.21;0.03;22.43;10.17;5.07;-1.36;8.55;0.30;1.59;23.12;1.91;31.06;22.04
2200;0.26;-0.08;1.00;0.49;1.45;0.00;0.56;0.76;2.31;1.20;0.69;;-3.37;0.10;1.08;-0.82;1.64;0.63;-0.40;0.83;0.22;-0.14;0.23;0.19;6.12;0.36;5.22;0.54;34.66;14.55;4.45;2.45;13.20;1.37;0.23;41.01;3.43;54.12;52.21
2252;0.02;-0.02;0.13;1.75;1.92;0.00;0.34;0.64;0.78;1.00;0.70;;4.75;-0.18;1.31;2.33;0.88;0.90;0.12;1.21;-0.09;-0.18;-0.04;-0.05;6.81;0.74;6.13;-0.06;30.95;15.68;9.01;5.76;0.50;1.19;-1.13;36.63;3.75;52.00;43.39
2386;0.00;-0.19;1.27;-0.35;0.87;0.00;0.47;0.65;1.43;2.02;0.76;;0.59;-0.32;-0.10;0.64;1.49;0.78;-0.18;0.38;0.27;-0.25;-0.14;-0.18;10.51;-0.20;12.62;-1.91;17.30;9.18;0.77;5.94;1.41;1.28;-2.16;25.65;3.10;36.12;35.02
2393;0.01;0.20;0.08;3.91;4.41;0.00;0.24;0.95;-0.61;-0.25;0.56;;-2.63;0.34;0.54;-0.21;0.28;0.72;-0.17;0.54;-0.21;0.15;-0.22;0.33;8.74;-0.01;6.72;2.03;37.13;8.12;19.71;6.63;2.68;1.51;2.37;48.25;2.30;67.77;52.96
2556;0.02;0.07;0.40;0.35;0.80;0.00;0.32;0.31;0.22;1.14;0.47;;0.02;0.12;0.82;1.76;0.54;0.54;0.26;0.88;0.01;-0.08;0.03;-0.23;5.32;0.17;4.39;0.75;17.83;10.27;2.55;5.12;-0.11;1.02;-1.52;21.62;2.49;30.37;28.07
2614;-0.01;0.63;1.83;0.65;3.08;0.00;0.09;0.51;0.08;-0.31;0.98;;2.33;0.07;1.01;0.64;0.18;0.77;0.21;0.71;0.50;-0.12;0.01;0.15;8.58;-0.42;2.74;6.27;20.37;10.19;6.91;3.20;0.07;0.65;0.14;29.10;2.31;44.52;30.94
2815;0.00;-0.08;1.71;-0.18;1.17;0.00;0.46;0.72;1.04;0.12;0.95;;1.20;-0.05;0.38;0.04;0.63;0.75;0.37;0.61;0.25;0.00;0.28;0.14;7.84;0.57;8.08;-0.81;18.82;11.30;2.52;4.12;0.88;0.88;0.71;27.37;3.07;38.70;36.52
3489;-0.04;-0.01;0.73;-0.06;0.81;0.00;0.30;1.03;0.36;0.17;0.62;;-0.30;0.72;0.59;2.33;0.16;0.51;0.76;1.24;-0.12;-0.02;-0.19;-0.05;8.64;-0.42;9.32;-0.25;16.60;13.87;1.16;4.28;-2.70;0.68;-0.35;24.89;3.71;36.70;30.91
3490;0.02;0.01;1.26;0.48;1.65;0.00;0.40;0.89;2.03;0.84;1.23;;1.38;-0.28;0.53;-3.37;0.92;0.87;0.08;0.26;-0.05;-0.29;0.11;0.79;9.37;-0.27;9.47;0.17;19.29;10.45;4.90;4.60;-0.67;0.88;2.50;31.15;3.04;43.92;39.15
3824;0.00;0.24;0.23;1.80;1.93;0.00;0.53;0.78;1.25;1.72;0.31;;3.19;0.13;1.08;1.13;1.19;0.52;0.34;0.87;-0.11;-0.12;0.35;0.05;7.98;0.06;5.49;2.44;30.74;15.82;9.48;3.32;2.11;0.81;-0.36;38.37;3.71;53.70;48.89
3976;-0.01;-0.18;-0.56;0.38;-0.34;0.00;-0.24;0.53;-1.34;-0.37;0.56;;-0.59;-0.27;-0.12;-0.28;-0.21;0.57;-0.33;-0.06;0.08;0.43;-0.03;0.20;-0.60;0.79;0.47;-1.86;2.66;2.00;0.77;1.14;-1.25;0.14;3.18;5.24;0.45;5.29;0.42
4013;-0.07;0.07;-0.45;-0.44;-0.79;0.00;0.00;0.45;-1.77;0.73;0.51;;0.63;0.04;0.03;0.58;0.19;0.74;0.17;0.16;0.09;0.14;-0.09;-0.17;4.58;0.17;4.04;0.37;4.39;6.34;-3.09;-0.50;1.63;0.01;-0.16;8.82;1.67;10.52;8.83
