RocketCity;ALHU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
16;0.00;0.18;4.22;1.26;5.68;0.64;0.45;0.74;0.98;0.07;0.81;0.79;;0.82;0.70;;0.33;0.76;0.57;0.75;-0.12;0.55;-0.03;-0.08;13.43;-0.48;12.15;1.75;39.26;9.66;14.74;1.72;13.15;1.22;2.34;55.02;3.15;80.65;80.00
34;0.00;-0.04;1.70;-0.71;0.84;0.02;0.05;0.82;0.78;-0.09;0.75;0.87;;-0.19;0.92;;-0.09;0.73;0.00;0.79;0.14;0.36;0.11;-0.13;7.46;1.31;6.58;-0.43;12.56;7.98;-0.13;5.27;-0.57;1.02;1.17;21.19;2.25;29.46;22.63
79;0.00;0.03;3.91;-0.37;3.52;0.12;0.24;0.66;0.87;1.19;0.91;0.13;;-0.05;0.80;;0.99;0.35;0.14;0.73;0.34;-0.04;0.05;0.25;8.80;0.59;7.86;0.35;25.28;10.43;5.95;-0.95;9.85;0.47;1.04;35.13;2.87;53.31;42.89
118;0.00;0.95;0.35;4.77;6.01;0.59;0.50;0.74;1.17;1.47;0.48;0.65;;0.32;0.63;;1.20;0.72;0.14;0.72;0.19;-0.16;0.06;0.07;18.11;-0.48;9.13;9.46;49.59;13.01;24.56;2.68;9.34;1.16;-0.44;67.25;3.51;94.81;92.13
179;0.00;0.32;-0.19;4.67;4.64;0.25;0.36;0.59;-0.16;1.25;0.65;0.65;;1.17;0.75;;0.70;0.67;0.47;0.70;0.25;-0.22;0.17;-0.01;11.04;0.26;7.59;3.18;46.00;11.83;22.99;-0.11;11.29;0.73;-1.12;55.92;3.12;78.23;69.31
283;0.00;0.38;0.28;-1.10;-0.86;0.06;0.21;0.56;0.50;0.28;0.74;0.43;;0.50;0.52;;0.50;0.51;0.54;0.55;-0.10;0.10;0.42;0.09;0.24;0.68;-4.29;3.84;12.14;15.41;-4.95;0.54;1.14;0.18;0.94;13.32;2.65;17.26;19.04
343;0.00;-0.09;0.17;1.84;1.80;-0.01;0.41;0.88;0.60;0.10;0.93;0.44;;0.69;0.69;;0.38;0.63;0.91;0.66;0.10;0.39;0.12;0.08;10.16;0.80;10.26;-0.90;24.65;12.15;9.56;4.44;-1.50;0.79;2.37;37.18;3.46;51.45;45.20
364;0.00;0.06;-0.02;3.66;3.69;0.02;0.19;0.66;0.01;0.18;0.67;0.65;;0.55;0.84;;0.12;0.66;0.38;0.81;0.18;-0.10;0.01;0.02;11.25;-0.62;11.26;0.60;32.02;7.55;18.24;1.36;4.87;0.60;-0.35;42.91;2.64;61.03;47.17
442;0.00;-0.10;0.63;-0.10;0.41;-0.08;0.28;0.68;1.07;0.85;0.73;0.66;;-0.46;0.71;;0.89;0.69;-0.23;0.66;-0.32;0.12;0.02;0.04;2.81;1.31;2.48;-0.98;15.27;12.27;0.75;3.77;-1.53;0.65;0.75;18.84;2.70;26.88;22.56
456;0.00;0.03;3.75;0.17;4.01;0.19;0.52;0.76;0.47;0.73;0.62;0.80;;-0.40;0.78;;0.87;0.73;-0.17;0.77;-0.08;0.05;-0.06;0.06;12.23;-0.57;12.54;0.26;24.52;8.60;8.34;5.33;2.25;1.21;0.56;37.30;2.97;57.25;52.57
538;0.00;-0.14;0.84;0.05;0.72;0.03;0.01;0.58;-0.15;-0.22;0.46;0.35;;0.55;0.58;;-0.12;0.57;0.60;0.56;-0.22;0.12;0.04;0.03;6.73;0.08;8.03;-1.38;13.58;6.89;1.92;4.26;0.52;0.89;0.73;21.04;2.18;28.73;21.95
624;0.00;0.26;0.17;2.92;3.34;0.13;0.56;0.70;0.91;0.73;0.60;0.57;;0.16;0.64;;0.90;0.81;0.25;0.59;-0.24;0.81;0.02;0.16;10.78;0.76;7.38;2.64;35.36;12.52;14.94;5.92;1.99;1.32;4.83;50.97;3.24;69.51;65.38
801;0.00;0.37;0.66;0.14;1.25;-0.02;0.22;0.57;0.54;0.68;0.07;0.72;;0.28;0.69;;0.61;0.47;0.09;0.64;-0.02;-0.01;-0.08;-0.07;4.04;0.16;0.17;3.71;14.76;11.81;2.00;1.88;-0.92;0.31;-0.43;18.37;2.38;28.22;22.15
945;0.00;-0.08;2.25;0.09;2.13;0.03;0.25;0.71;-0.07;-0.15;0.83;0.65;;0.28;0.46;;0.15;0.70;0.30;0.56;-0.11;-0.23;0.13;0.06;7.46;0.46;7.82;-0.83;17.12;8.20;4.93;5.72;-1.73;1.03;-0.84;23.74;2.42;36.44;29.70
1251;0.00;0.02;0.87;1.12;1.88;0.17;0.48;0.71;0.62;0.68;0.49;0.78;;0.19;0.82;;0.89;0.82;0.23;0.76;0.10;0.34;0.13;0.08;12.29;0.03;12.08;0.18;20.96;10.99;7.36;3.53;-0.92;0.65;2.08;35.33;3.41;49.71;49.16
1466;0.00;0.00;0.78;-0.62;0.15;-0.03;0.29;0.51;0.65;0.71;0.47;0.58;;0.79;0.76;;0.48;0.74;1.13;0.71;0.17;0.10;0.01;0.06;8.06;0.15;7.96;-0.05;16.10;13.89;-1.52;2.64;1.09;0.60;0.76;24.92;3.57;34.32;29.84
1539;0.00;0.13;-0.81;1.50;0.74;-0.02;0.20;0.68;0.83;-0.08;0.87;0.33;;-0.01;0.77;;0.57;0.52;-0.03;0.75;-0.15;0.28;0.09;-0.03;2.35;1.90;-0.86;1.32;23.77;12.92;5.89;3.86;1.09;0.85;1.22;27.34;2.50;35.90;30.86
1706;0.00;0.40;1.24;0.42;2.00;-0.14;0.03;0.75;-0.01;0.19;-0.48;0.16;;0.85;0.62;;-0.12;-0.09;0.30;0.57;0.18;0.21;0.06;0.06;11.65;0.60;7.03;4.02;11.75;3.56;4.55;3.13;0.51;0.66;1.34;24.75;1.42;34.52;21.92
1902;0.00;-0.02;0.44;0.66;1.16;-0.04;0.27;0.45;0.85;0.25;0.46;0.66;;0.07;0.55;;0.50;0.52;-0.23;0.61;0.18;0.04;-0.08;0.04;8.54;0.02;8.73;-0.21;14.58;4.92;4.21;4.28;1.17;0.93;0.41;23.54;1.86;31.82;28.00
2190;0.00;0.04;0.08;-0.03;-0.10;-0.10;0.02;0.35;-0.21;0.12;0.57;0.72;;0.48;0.41;;0.06;0.69;0.41;0.46;0.07;-0.04;0.18;0.06;10.49;-0.38;10.47;0.40;4.00;4.65;-0.01;0.89;-1.53;0.08;0.11;14.60;1.98;19.24;12.48
2783;0.00;0.11;0.78;1.12;2.10;0.06;0.36;0.36;0.70;1.18;0.51;0.29;;0.45;0.69;;1.12;0.62;0.31;0.66;0.50;0.12;-0.09;-0.05;8.47;0.45;6.93;1.09;22.70;11.88;7.18;4.58;-0.94;0.85;0.35;31.52;3.07;45.76;40.19
2815;0.00;0.05;2.91;0.65;3.57;0.25;0.32;0.68;0.78;0.90;0.76;0.25;;-0.43;0.83;;1.13;0.54;-0.41;0.77;-0.06;-0.13;0.04;0.07;12.25;-0.37;12.16;0.45;18.26;7.55;9.09;3.08;-1.47;0.52;-0.28;30.22;2.73;48.21;42.90
2918;0.00;-0.12;-0.46;1.03;0.36;0.01;0.23;0.33;-0.95;-0.18;0.87;0.57;;0.28;0.46;;-0.19;0.67;0.59;0.48;-0.29;-0.10;0.09;-0.04;2.38;1.29;2.28;-1.20;15.66;8.27;4.24;3.14;0.01;0.63;-0.67;17.37;1.88;23.20;22.17
2973;0.00;0.10;0.88;0.39;1.50;0.03;0.11;0.33;0.40;0.46;0.99;0.58;;0.08;0.42;;0.31;0.63;-0.03;0.48;-0.24;-0.07;-0.13;0.02;2.99;1.57;0.38;1.04;16.55;8.39;3.70;3.17;1.29;0.72;-0.24;19.30;1.72;28.28;22.27
3319;0.00;-0.02;1.38;-0.53;0.93;-0.10;0.26;0.77;0.56;0.38;1.05;0.72;;0.19;0.70;;0.76;0.70;0.20;0.74;0.22;0.14;-0.11;0.00;9.46;0.24;9.43;-0.21;17.08;11.17;0.11;3.12;2.68;0.80;0.73;27.27;3.18;38.13;29.85
3337;0.00;-0.16;-0.52;-0.08;-0.88;-0.05;0.04;0.63;0.76;-0.20;1.35;0.69;;-0.37;0.47;;-0.06;0.67;0.01;0.50;-0.03;-0.10;0.14;0.06;1.18;1.09;1.65;-1.55;6.82;7.95;-1.41;0.15;0.12;0.04;-0.23;7.77;1.76;9.40;7.24
3397;0.00;0.30;0.50;1.43;2.12;-0.01;0.07;0.39;0.68;0.16;0.29;0.73;;-0.64;0.74;;0.54;0.47;-0.45;0.67;0.24;0.31;0.11;-0.03;3.12;0.15;0.01;2.96;21.10;8.13;8.18;6.23;-1.43;1.15;1.40;25.62;1.63;36.32;26.71
3490;0.00;-0.04;0.59;0.57;1.02;0.01;0.31;0.72;0.81;0.89;0.69;0.87;;-0.15;0.40;;0.75;0.77;0.01;0.42;0.22;-0.03;0.10;-0.07;3.92;1.08;3.24;-0.40;23.06;11.71;4.04;5.63;1.67;1.24;-0.48;26.50;2.67;36.37;32.79
3814;0.00;-0.06;0.21;0.83;0.88;-0.11;-0.02;0.26;-0.21;-0.39;0.45;0.32;;0.77;0.55;;-0.44;0.42;0.64;0.54;0.39;0.03;0.10;-0.08;1.08;0.72;0.94;-0.58;15.21;6.60;4.56;-0.93;4.97;0.15;-0.27;16.02;1.41;22.32;12.96
3861;0.00;0.01;0.28;0.12;0.50;-0.01;0.31;0.66;0.39;0.13;1.09;0.59;;0.25;0.84;;0.24;0.89;0.33;0.80;-0.09;-0.25;-0.08;0.16;4.97;0.23;4.63;0.11;18.51;12.32;1.18;2.48;2.53;0.67;-0.44;23.04;2.93;31.92;28.91
3959;0.00;-0.05;-0.18;2.20;1.95;0.06;0.29;0.82;0.12;-0.23;0.42;0.69;;0.83;0.90;;-0.05;0.82;0.78;0.86;0.35;0.01;0.02;0.25;11.29;-0.82;12.64;-0.54;24.44;9.88;10.63;5.80;-1.87;1.04;1.31;37.04;3.24;51.22;44.16
3966;0.00;0.06;0.79;0.01;0.74;0.05;0.05;0.62;0.72;1.40;-0.10;0.85;;0.12;0.53;;1.12;0.42;-0.04;0.47;0.19;0.05;0.13;0.22;10.70;-0.34;10.45;0.59;9.22;7.68;1.65;-0.07;-0.04;-0.02;1.33;21.24;2.58;30.00;23.61
4013;0.00;0.01;0.15;-0.48;-0.24;-0.06;0.04;0.56;0.18;-0.17;0.22;0.60;;0.41;0.36;;0.11;0.32;0.53;0.40;-0.23;0.07;-0.08;-0.13;0.65;0.73;-0.20;0.12;10.36;9.74;-2.09;2.65;0.06;0.53;-0.26;10.74;1.93;14.82;9.98
4020;0.00;0.30;0.27;0.73;1.11;0.25;0.24;0.52;0.63;0.94;0.96;0.19;;-0.37;0.75;;0.91;0.47;-0.13;0.78;-0.33;0.20;0.19;-0.04;11.06;-0.24;8.34;2.96;20.83;8.62;4.19;4.04;3.98;1.07;0.81;32.69;2.56;42.55;43.79
4188;0.00;0.03;2.78;1.72;4.59;0.39;0.51;0.78;0.48;0.67;0.77;1.08;;0.64;0.73;;0.66;0.84;0.14;0.75;0.17;0.15;-0.06;-0.08;7.78;0.38;7.14;0.26;32.32;12.25;14.17;5.28;0.62;1.10;0.34;40.44;3.16;62.68;60.52
4553;0.00;0.03;0.30;0.02;0.29;-0.05;0.09;0.81;0.52;0.15;0.66;0.70;;0.64;0.59;;0.15;0.67;0.56;0.57;0.37;0.10;0.05;-0.06;7.67;1.08;6.30;0.29;13.52;10.66;0.69;2.51;-0.33;0.48;0.22;21.42;2.76;29.24;22.11
4924;0.00;0.19;-0.07;0.45;0.64;0.00;0.18;0.49;0.92;-0.03;0.39;0.87;;0.30;0.46;;0.33;0.53;0.35;0.55;-0.22;0.28;-0.07;0.13;2.88;0.37;0.65;1.87;13.95;10.87;2.09;0.10;0.89;0.08;2.07;18.90;2.24;26.49;22.41
5006;0.00;-0.20;0.99;1.48;2.38;0.18;0.44;0.76;1.17;1.22;0.59;0.58;;0.20;0.59;;0.96;0.69;-0.06;0.59;-0.04;0.18;-0.10;-0.07;5.77;0.21;7.57;-2.01;26.75;10.93;9.40;6.25;0.18;1.26;0.59;33.11;2.94;47.90;46.27
5034;0.00;0.03;0.74;0.39;1.17;-0.06;0.20;0.88;0.56;-0.23;0.76;0.82;;1.36;0.57;;0.08;0.67;1.23;0.60;0.09;-0.05;-0.02;-0.10;0.94;1.16;-0.51;0.29;23.41;17.50;3.40;3.79;-1.29;0.67;-0.77;23.58;3.45;35.87;26.27
5045;0.00;0.34;0.49;2.12;3.02;0.13;0.36;0.73;0.18;0.36;0.73;1.05;;0.79;0.77;;0.30;0.83;0.41;0.74;0.37;-0.05;-0.06;-0.06;13.05;0.25;9.37;3.43;26.15;10.33;11.60;5.30;-1.07;0.99;-0.54;38.66;3.00;55.60;49.11
5180;0.00;0.03;-0.77;0.49;-0.19;0.04;0.41;0.74;0.80;0.37;0.86;0.50;;0.37;0.60;;0.19;0.61;0.18;0.73;0.13;0.01;-0.05;0.07;7.77;0.32;7.11;0.34;11.79;8.73;0.92;1.70;0.44;0.37;0.38;19.94;2.46;25.48;29.14
5317;0.00;0.16;0.45;0.28;0.90;0.00;0.60;0.79;-1.00;0.81;0.76;0.90;;1.46;0.76;;0.06;0.75;1.32;0.74;0.33;0.08;-0.02;-0.11;10.27;0.67;7.99;1.62;22.02;14.33;2.28;4.23;1.17;0.92;-0.16;32.13;3.66;44.11;44.06
5472;0.00;0.22;1.93;-0.03;2.15;0.01;0.28;0.44;0.60;0.62;0.96;0.64;;-0.01;0.84;;0.68;0.77;-0.13;0.80;0.17;0.36;-0.03;0.20;10.18;0.08;7.87;2.22;18.37;8.89;3.72;6.47;-0.70;1.25;2.80;31.35;2.56;44.48;37.24
5551;0.00;-0.02;-0.33;-0.47;-0.77;-0.16;0.08;0.55;0.21;0.49;-0.19;0.59;;0.62;0.65;;0.46;0.21;0.27;0.64;0.52;0.21;-0.04;-0.01;1.16;0.25;1.14;-0.22;4.43;10.05;-2.99;-0.59;-2.04;-0.25;1.03;6.62;2.12;9.52;4.07
5717;0.00;-0.28;-0.47;0.05;-0.74;-0.03;0.36;0.68;-0.05;0.70;0.71;0.07;;0.47;0.02;;0.42;0.29;0.67;0.23;0.43;-0.24;0.04;-0.05;-2.89;1.36;-1.49;-2.76;14.79;12.21;-0.70;2.76;0.53;0.59;-1.46;10.44;2.29;13.86;16.86
5845;0.00;-0.05;0.14;-0.38;-0.30;-0.03;0.21;0.75;0.25;0.20;0.69;0.61;;0.35;0.36;;0.37;0.68;0.51;0.33;0.34;0.22;0.01;-0.08;8.35;0.35;8.50;-0.50;12.83;8.89;-1.63;4.80;0.77;1.01;0.67;21.85;2.63;27.48;25.33
5858;0.00;0.25;-0.58;-0.22;-0.63;-0.10;0.08;0.63;0.69;0.22;0.72;0.99;;0.18;0.46;;0.15;0.76;0.12;0.47;0.36;0.04;0.08;0.09;11.75;-0.19;9.42;2.52;4.20;5.94;-2.26;0.64;-0.12;0.12;0.64;16.59;2.13;19.94;15.72
6107;0.00;-0.18;1.21;1.01;2.10;0.14;0.13;0.67;1.11;0.11;0.69;0.42;;-0.34;0.65;;0.51;0.64;-0.33;0.73;0.04;0.16;-0.05;-0.05;1.29;0.53;2.56;-1.80;21.86;9.86;7.48;4.63;-0.11;0.92;0.58;23.73;2.23;35.86;29.71
6158;0.00;-0.03;1.49;0.04;1.58;-0.12;0.02;0.58;1.06;-0.08;0.51;0.06;;0.80;0.35;;0.27;0.09;0.01;0.45;0.19;0.01;-0.07;0.30;4.32;1.37;3.25;-0.30;6.60;5.46;3.20;-0.02;-2.04;-0.14;1.52;12.44;1.42;20.92;9.84
6163;0.00;-0.04;-0.41;0.18;-0.36;-0.11;0.09;0.60;0.54;-0.19;0.41;0.34;;0.41;0.45;;-0.01;0.53;0.42;0.56;0.06;-0.02;0.09;0.17;0.33;-0.16;0.88;-0.39;10.06;10.09;0.10;0.65;-0.77;0.08;0.78;11.16;2.11;15.31;10.32
6198;0.00;-0.07;0.29;0.01;0.30;-0.02;0.01;0.56;1.17;-0.20;0.33;0.68;;1.18;0.34;;0.36;0.52;0.64;0.39;-0.21;0.13;-0.06;-0.07;2.16;-0.18;3.00;-0.66;14.57;10.89;0.66;3.25;-0.23;0.63;0.29;17.02;2.48;24.17;16.90
