SiliconValley;CASJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
8;0.00;-0.03;1.41;0.56;1.92;0.07;0.30;0.78;;1.29;;0.67;;0.54;0.30;;1.15;0.66;0.25;0.45;-0.29;0.13;0.03;0.11;4.23;0.62;3.86;-0.26;27.45;14.55;5.64;3.50;3.75;0.95;1.17;32.85;3.30;47.08;40.52
100;0.00;0.05;0.48;-0.05;0.32;-0.04;0.47;0.66;;0.86;;0.78;;-0.14;0.79;;1.04;0.71;-0.42;0.72;0.37;0.61;0.17;0.12;5.73;1.24;4.02;0.48;18.58;11.48;0.72;4.90;1.47;1.08;3.62;27.93;2.70;35.66;36.23
114;0.00;0.02;0.41;1.83;2.23;0.11;0.36;0.63;;1.20;;0.52;;0.62;0.40;;1.19;0.66;0.27;0.44;-0.22;-0.29;0.03;-0.02;6.40;1.12;5.07;0.22;29.52;13.46;9.97;5.31;0.79;1.11;-1.53;34.39;3.20;49.37;44.25
115;0.00;-0.01;-0.06;0.34;0.14;-0.08;0.06;0.67;;1.19;;0.17;;-0.31;0.72;;0.59;0.34;-0.12;0.69;-0.37;0.69;0.13;0.03;5.93;1.34;4.67;-0.08;11.91;8.50;1.59;0.69;1.13;0.21;3.58;21.42;2.17;27.28;20.69
192;0.00;0.51;0.33;1.89;2.77;-0.06;0.47;0.72;;1.32;;1.03;;0.11;0.38;;1.21;0.85;0.20;0.42;0.13;0.22;-0.04;-0.06;14.27;-0.38;9.50;5.14;25.76;12.27;10.11;2.96;0.42;0.62;0.80;40.83;3.41;58.01;48.78
199;0.00;0.15;0.10;0.60;0.80;0.15;-0.01;0.65;;-0.41;;0.17;;0.20;0.82;;-0.18;0.34;0.29;0.75;0.37;-0.29;0.04;0.02;7.68;-0.11;6.29;1.51;14.27;6.16;3.18;3.96;0.98;0.86;-1.36;20.59;1.86;27.76;24.17
253;0.00;-0.05;-0.39;0.22;-0.20;0.00;-0.14;0.67;;-0.08;;0.19;;-0.30;0.29;;-0.05;0.15;-0.13;0.28;0.04;-0.01;-0.02;0.01;7.86;1.11;7.22;-0.47;1.03;1.02;0.34;0.47;-0.80;0.04;0.01;8.90;0.93;10.60;6.10
254;0.00;0.75;-0.15;7.58;8.19;0.52;0.56;0.76;;1.68;;0.58;;-0.05;0.69;;1.46;0.79;-0.29;0.67;0.19;0.87;-0.01;-0.04;14.70;0.12;7.06;7.51;60.04;13.44;37.60;3.88;5.13;1.12;4.18;78.92;3.39;112.98;102.93
256;0.00;-0.01;-0.14;0.06;-0.09;-0.18;0.08;0.17;;0.51;;0.41;;0.68;0.41;;0.25;0.43;0.40;0.49;-0.17;0.30;-0.01;0.09;2.40;0.09;2.40;-0.09;11.95;7.54;0.00;1.46;2.95;0.49;1.96;16.30;1.75;20.40;13.44
368;0.00;0.13;-0.09;3.95;3.98;0.37;0.50;0.76;;1.11;;0.69;;0.28;0.65;;0.34;0.77;0.81;0.73;-0.19;0.60;0.01;0.02;12.20;-0.25;11.15;1.31;40.75;11.52;19.56;5.65;4.03;1.40;3.06;56.02;3.42;76.99;75.24
