TorontoCentral;ONTO2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
188;-0.02;0.10;0.14;0.78;0.55;0.09;0.64;0.75;1.55;0.89;;0.88;;-0.20;1.04;0.26;1.10;0.78;-0.06;0.92;0.14;0.16;0.45;0.23;7.56;0.49;6.15;0.92;22.90;14.30;4.19;4.15;0.26;0.85;1.97;32.43;3.48;42.84;47.47
771;-0.07;-0.01;0.40;0.02;-0.05;0.05;0.27;0.65;0.37;0.32;;0.80;;0.54;0.76;0.33;0.20;0.68;0.51;0.63;-0.12;-0.05;0.39;-0.06;4.53;0.96;3.97;-0.39;12.30;11.32;0.88;3.21;-3.12;0.43;-0.53;16.30;2.66;22.81;23.04
772;-0.05;-0.02;0.02;1.63;1.71;0.02;0.10;0.65;-0.92;0.50;;0.60;;-0.17;0.46;1.10;0.25;0.71;-0.14;0.66;0.05;0.45;-0.11;0.46;10.25;0.48;10.17;-0.40;17.61;5.59;8.22;3.20;0.60;0.68;4.54;32.40;2.13;43.07;34.70
781;-0.05;0.00;0.66;0.20;1.11;-0.05;-0.10;0.45;-0.37;0.26;;0.88;;-0.12;0.28;0.15;0.33;0.72;-0.16;0.43;0.27;0.03;-0.30;-0.22;0.57;0.46;0.38;-0.28;10.55;8.69;2.30;1.34;-1.78;0.15;-0.97;10.14;1.78;18.04;6.94
854;-0.01;0.01;0.29;0.85;0.55;-0.01;0.44;0.84;0.26;0.13;;-0.08;;0.40;0.76;0.89;0.58;0.36;0.44;0.86;0.44;0.02;0.59;0.27;8.94;-0.16;9.03;0.07;16.74;10.88;4.83;1.73;-0.69;0.30;1.43;27.11;3.08;36.53;35.53
865;0.01;-0.02;0.64;0.35;0.97;-0.04;0.28;0.72;0.17;0.37;;0.60;;-0.22;0.87;0.88;0.65;0.62;-0.32;0.81;0.22;0.46;0.00;0.26;7.67;-0.05;7.91;-0.20;14.10;8.44;3.03;3.54;-0.90;0.65;3.63;25.40;2.48;34.64;29.95
886;-0.07;0.00;-0.16;-0.04;0.06;-0.05;-0.18;0.55;-1.62;-0.08;;0.57;;0.42;0.36;0.31;-0.15;0.51;0.41;0.37;0.64;0.43;-0.33;0.23;5.20;0.89;4.67;-0.36;7.77;6.11;-0.53;0.41;1.77;0.20;3.32;16.29;1.69;20.70;11.35
919;0.10;-0.01;0.11;-0.38;-0.68;-0.01;0.13;0.48;1.34;0.12;;0.78;;0.14;0.16;0.30;0.46;0.72;0.10;0.11;0.07;-0.12;0.50;-0.29;6.82;0.85;5.58;0.39;7.70;6.53;-1.69;0.38;2.48;0.24;-2.05;12.47;1.86;15.02;15.02
1310;0.08;-0.02;0.83;0.41;1.28;0.06;-0.07;0.35;1.26;0.71;;0.57;;-0.04;0.41;0.08;0.64;0.60;-0.08;0.54;-0.15;0.58;0.03;0.07;6.28;0.85;5.25;0.18;12.15;7.66;3.73;0.85;-0.09;0.16;3.29;21.72;2.06;30.85;22.03
1325;-0.06;0.00;0.19;0.74;1.10;-0.05;0.46;0.70;0.70;-0.02;;0.61;;0.92;0.75;1.31;0.31;0.66;0.65;0.80;0.85;-0.16;-0.23;0.01;9.53;-0.21;10.01;-0.27;17.79;10.59;4.07;3.21;-0.07;0.64;-0.76;26.57;3.12;37.80;34.64
