team;best event;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR 1;eOPR2
8;SiliconValley;0.00;-0.03;1.41;0.56;1.92;0.07;0.30;0.78;;1.29;;0.67;;0.54;0.30;;1.15;0.66;0.25;0.45;-0.29;0.13;0.03;0.11;4.23;0.62;3.86;-0.26;27.45;14.55;5.64;3.50;3.75;0.95;1.17;32.85;3.30;47.08;40.52
11;MARMt.Olive;0.00;0.08;1.13;0.42;1.74;0.06;0.56;0.90;;1.16;0.76;0.35;;1.37;0.99;;1.02;0.61;1.47;0.92;-0.09;0.52;-0.11;0.03;10.37;0.60;8.97;0.80;29.20;20.09;4.34;5.88;-1.10;1.10;2.74;42.31;4.91;60.02;54.99
16;ArkansasRockCity;0.00;0.01;2.50;2.02;4.63;0.34;0.79;0.81;0.62;0.37;1.02;0.96;;1.53;1.25;1.47;0.10;1.00;1.52;0.92;0.04;0.12;-0.10;0.00;10.57;0.13;10.35;0.09;47.18;16.76;15.10;3.24;12.08;1.45;0.60;58.35;4.39;83.78;82.54
20;FingerLakes;0.07;-0.07;3.30;1.14;4.44;0.36;0.48;0.71;;0.55;0.80;0.92;;-0.30;0.80;;0.78;0.88;-0.24;0.78;0.55;0.41;-0.01;0.20;9.97;0.01;10.30;-0.34;26.34;9.39;12.29;6.54;-1.88;1.18;3.06;39.37;2.91;60.52;57.86
25;MARDistrictChampionship;0.23;0.16;5.89;-0.20;5.93;0.40;0.41;0.72;;0.74;0.79;0.85;;1.24;0.70;;0.79;0.72;0.64;0.71;0.24;1.18;0.15;0.11;13.75;-0.17;11.21;2.72;39.22;12.33;10.79;-0.24;16.34;1.04;6.45;59.42;3.59;86.91;77.49
27;MIStateChampionship;-0.06;0.31;-1.21;5.27;4.20;0.39;0.23;0.65;;0.56;0.70;0.71;;0.57;0.71;0.63;0.57;0.67;0.51;0.68;-0.21;-0.47;0.11;-0.07;13.62;-0.03;10.85;2.80;42.08;10.04;23.94;4.50;3.60;1.14;-2.71;52.99;3.09;73.87;67.35
33;MIStateChampionship;0.10;0.02;-0.03;6.28;6.30;0.48;0.36;0.65;;0.63;0.73;0.65;;-0.19;0.71;0.90;0.66;0.69;-0.25;0.69;0.32;0.24;0.07;0.12;8.77;0.52;7.57;0.68;50.91;8.42;31.32;3.21;7.96;1.17;1.79;61.47;2.44;87.25;80.62
45;INChampionship;-0.04;0.04;1.12;3.75;4.82;0.42;0.35;0.68;;0.64;0.47;0.65;;-0.15;0.68;;0.70;0.67;-0.14;0.68;-0.14;0.61;0.05;0.06;9.15;0.24;8.69;0.22;33.31;8.62;21.00;5.82;-2.13;1.02;3.35;45.81;2.59;67.36;63.15
48;QueenCity;-0.07;0.18;0.65;3.49;4.31;0.25;0.56;0.77;;0.09;0.85;0.83;;1.00;0.70;-445463044866463.00;0.15;0.85;1.06;0.72;0.54;-0.06;-0.06;-0.04;5.22;0.17;3.65;1.40;38.03;15.95;18.75;5.11;-1.78;0.90;-0.47;42.78;3.55;65.12;60.18
51;MIStateChampionship;0.52;-0.09;3.56;0.19;4.15;0.34;0.34;0.70;;0.68;0.67;0.75;;0.82;0.53;0.26;0.72;0.69;0.87;0.61;0.04;0.32;0.04;-0.11;11.63;0.01;9.87;1.76;25.43;13.03;8.06;4.24;0.10;0.85;1.06;38.13;3.59;60.08;53.39
57;LoneStar;0.00;0.00;2.55;-0.36;2.38;0.23;0.50;0.83;;1.10;;0.63;;0.07;0.53;-259483206370836000.00;1.08;0.90;0.12;0.52;-0.17;0.05;-0.18;0.03;5.74;-0.30;6.02;0.02;19.86;14.24;3.32;3.83;-1.53;0.66;0.39;25.99;3.45;42.04;41.77
60;LasVegas;-0.04;-0.01;-0.11;0.71;0.62;-0.10;0.44;0.73;;0.69;0.85;0.57;;0.84;0.65;0.67;0.42;0.69;1.04;0.65;-0.10;0.24;-0.07;-0.05;6.41;0.45;6.26;-0.29;23.40;14.51;3.31;2.98;2.60;0.77;0.97;30.82;3.53;41.57;37.10
66;MIStateChampionship;-0.02;-0.22;1.94;1.16;2.92;0.11;0.17;0.71;;0.51;0.62;0.57;;0.26;0.71;0.80;0.49;0.59;0.14;0.69;0.30;1.12;-0.06;0.10;6.80;0.04;9.04;-2.28;25.78;8.59;9.68;3.48;4.03;0.96;6.07;38.66;2.62;54.34;44.85
67;MIStateChampionship;-0.03;0.30;-1.48;5.41;4.21;0.41;0.30;0.71;;0.67;0.65;0.68;;0.21;0.68;0.49;0.62;0.69;0.08;0.69;-0.06;-0.22;-0.02;-0.02;13.40;-0.19;10.75;2.84;44.09;8.53;24.06;1.51;9.99;0.97;-1.20;56.29;2.78;76.42;72.49
68;MIStateChampionship;0.06;-0.01;-0.77;2.73;1.68;0.00;0.33;0.66;;0.64;0.69;0.67;;0.02;0.71;0.65;0.66;0.67;0.01;0.68;-0.02;0.14;0.33;-0.05;11.84;-0.14;11.78;0.21;24.59;7.54;12.13;3.86;1.06;0.84;0.44;36.87;2.69;48.85;43.42
70;MIStateChampionship;0.02;0.48;0.86;2.86;4.30;0.46;0.25;0.68;;0.64;0.73;0.66;;0.43;0.67;0.76;0.68;0.68;0.55;0.70;-0.04;0.19;-0.09;-0.01;16.37;-0.20;11.67;4.90;32.85;10.65;16.00;4.62;1.58;1.03;0.87;50.09;3.30;71.78;66.63
74;MITraverseCity;0.00;0.05;3.70;0.27;4.06;0.14;0.53;0.67;1.05;0.08;0.90;0.52;0.24;0.06;0.88;;0.76;0.81;-0.27;0.85;0.37;0.14;-0.04;0.23;11.62;-0.40;11.49;0.54;31.47;8.44;8.76;0.24;14.03;0.98;1.84;44.94;2.84;64.73;59.00
78;NEDistrictChampionship;-0.01;0.26;1.57;2.00;3.75;0.30;0.36;0.70;;0.74;0.67;0.67;;-0.06;0.67;0.67;0.72;0.67;-0.09;0.67;0.63;-0.36;0.06;0.09;11.58;-0.11;9.18;2.51;29.36;8.74;13.14;4.30;3.18;1.07;-1.36;39.58;2.67;57.97;54.16
85;MIStateChampionship;-0.06;0.03;-1.19;5.07;3.70;0.21;0.34;0.68;;0.60;0.66;0.59;;0.30;0.63;0.75;0.66;0.59;0.35;0.67;-0.14;-0.05;0.14;0.07;8.67;0.29;8.45;-0.07;38.27;10.51;22.95;3.22;1.59;0.75;0.11;47.04;2.95;65.96;59.15
103;MARWesttown;-0.01;0.00;3.79;0.15;3.91;0.36;0.24;0.56;55.83;0.05;0.41;0.69;;0.03;0.74;;0.07;0.62;0.13;0.72;-0.07;-0.09;0.02;0.02;-1.91;-0.02;-1.84;-0.06;24.70;11.37;8.33;4.73;0.28;0.97;-0.36;22.43;2.09;39.86;36.24
107;MIStateChampionship;-0.06;0.35;-0.20;3.68;3.70;-0.03;0.35;0.68;;0.64;0.67;0.64;;0.42;0.71;0.70;0.65;0.67;0.31;0.68;0.35;0.77;0.07;-0.10;11.83;0.15;8.47;3.21;32.29;10.68;18.00;3.47;0.14;0.70;3.33;47.45;2.98;66.45;53.59
111;Midwest;-0.01;0.71;1.61;3.66;6.00;0.37;0.43;0.73;88.96;1.31;1.06;0.78;;-0.12;0.69;0.08;1.02;0.79;0.11;0.68;0.23;1.10;-0.04;-0.08;8.07;-0.08;1.16;7.00;42.83;16.07;21.52;3.56;1.68;0.82;5.08;55.99;3.33;83.05;73.82
118;LoneStar;0.00;0.74;-0.41;5.71;6.08;0.38;0.70;0.71;;1.53;;1.18;;-0.30;1.12;-133058952184996000.00;1.39;1.06;-0.40;1.01;0.62;1.25;-0.04;0.39;15.11;-0.25;7.92;7.45;51.86;14.94;27.71;5.87;3.34;1.40;8.18;75.14;3.78;103.60;98.59
120;QueenCity;-0.01;0.08;-0.43;3.78;3.26;0.20;0.37;0.64;;0.39;0.61;0.69;;0.36;0.52;-8173005970372090.00;0.47;0.61;0.41;0.62;-0.04;0.26;0.16;0.07;7.59;0.36;6.48;0.75;34.84;10.48;18.05;5.72;0.60;1.18;1.60;44.04;2.74;61.09;56.61
122;CHSCentralVirginia;0.08;-0.03;1.61;1.05;2.71;0.06;0.52;0.54;;1.24;0.80;0.89;-0.62;1.44;1.05;0.63;0.85;0.82;0.83;0.86;0.03;0.06;0.00;-0.04;13.00;-0.42;13.33;0.09;25.52;12.82;8.45;3.92;0.33;0.81;0.06;38.59;3.90;56.78;50.43
123;MICenterLine;-0.03;0.00;3.31;0.22;3.27;0.16;0.19;0.74;;0.53;0.50;1.14;;-0.02;0.74;0.70;0.63;0.64;-0.02;0.81;0.06;0.34;0.23;0.03;11.05;0.25;10.92;-0.12;20.05;8.52;7.69;5.19;-1.36;0.95;1.84;32.94;2.80;50.15;40.72
125;NEDistrictChampionship;0.09;0.43;-0.94;4.63;4.29;0.39;0.15;0.68;;0.42;0.67;0.65;;-0.11;0.63;0.67;0.44;0.67;-0.07;0.66;0.37;0.29;-0.08;-0.09;13.00;0.65;7.59;4.77;36.90;8.14;21.28;3.77;3.71;1.00;1.04;50.94;2.39;70.32;63.86
126;NEDistrictChampionship;0.41;0.10;4.55;1.14;6.03;0.72;0.36;0.71;;0.79;0.67;0.69;;-0.15;0.66;0.67;0.77;0.67;-0.16;0.66;0.19;-0.02;0.17;-0.03;10.94;0.28;7.55;3.10;39.09;9.48;14.79;2.61;12.22;1.34;-0.22;49.81;2.65;75.27;75.04
133;NEDistrictChampionship;-0.09;0.57;-0.63;4.82;4.58;0.45;0.34;0.68;;0.67;0.67;0.69;;-0.15;0.72;0.67;0.65;0.68;-0.13;0.69;0.22;0.81;0.09;0.07;12.34;0.57;6.45;5.31;45.66;9.66;22.83;1.89;11.27;1.13;4.40;62.40;2.58;83.17;80.44
135;INChampionship;-0.03;0.09;0.03;4.62;4.57;0.28;0.26;0.66;;0.71;0.67;0.68;;0.24;0.67;;0.52;0.66;0.27;0.68;0.08;0.30;0.15;-0.03;10.04;-0.05;9.28;0.81;40.96;9.33;23.15;3.55;4.93;1.04;1.33;52.33;2.80;73.59;64.52
141;SouthFlorida;-0.01;0.18;0.07;3.42;3.62;0.16;0.38;0.96;;0.54;0.59;1.34;;-0.19;0.82;31.52;0.85;0.81;-0.21;0.83;0.17;-0.01;0.06;-0.06;13.55;-0.49;12.25;1.79;31.69;10.00;17.26;4.76;-0.34;0.93;-0.36;44.88;3.23;64.24;56.45
148;Dallas;0.00;0.60;0.59;4.87;5.75;0.26;0.50;0.75;;1.09;0.77;0.04;;-0.20;0.88;0.74;1.18;0.71;-0.29;0.86;-0.05;1.75;0.31;0.04;17.34;-0.32;11.66;6.00;44.72;10.24;25.51;4.74;4.24;1.23;8.94;71.01;3.21;97.00;87.66
166;NEDistrictChampionship;0.17;0.58;-0.38;2.55;3.00;0.21;0.35;0.70;;0.72;0.67;0.66;;0.43;0.43;0.67;0.70;0.66;0.47;0.50;-0.32;0.40;-0.08;-0.03;15.50;0.28;8.59;6.62;28.56;10.81;12.01;5.28;0.47;1.09;1.82;45.87;3.02;62.81;57.95
172;NEDistrictChampionship;0.02;-0.02;0.54;1.63;2.34;0.25;0.34;0.68;;0.68;0.67;0.56;;0.38;0.70;0.67;0.68;0.58;0.40;0.67;-0.07;-0.07;-0.17;0.07;6.83;0.57;6.36;-0.10;27.56;11.89;9.23;4.63;1.82;1.05;-0.02;34.37;3.01;49.22;47.32
175;NEHartford;-0.01;-0.04;0.24;2.84;2.87;0.17;0.25;0.70;0.40;0.71;0.72;0.61;;-0.24;0.64;0.67;0.56;0.71;-0.21;0.63;0.50;0.26;0.16;0.16;8.98;-0.20;9.62;-0.44;32.93;7.13;14.70;2.90;8.21;1.13;2.07;43.99;2.39;58.94;53.33
176;NEDistrictChampionship;0.04;0.11;0.95;3.38;4.75;0.21;0.37;0.67;;0.66;0.67;0.67;;0.16;0.72;0.67;0.69;0.69;0.13;0.68;-0.10;-0.39;-0.26;0.24;6.80;0.68;4.77;1.36;41.59;11.98;18.79;1.58;9.24;0.93;-0.73;47.66;2.87;69.68;60.25
177;NEDistrictChampionship;-0.06;0.64;-1.20;4.32;3.21;0.22;0.25;0.70;;0.75;0.67;0.57;;0.20;0.67;0.67;0.70;0.60;0.17;0.66;0.09;0.61;0.49;0.01;14.33;0.38;7.88;6.07;36.58;10.19;19.22;2.22;4.94;0.77;3.10;54.00;2.83;71.10;64.61
179;Palmetto;-0.03;0.44;0.37;1.81;2.48;0.00;0.42;0.67;1.81;-0.20;0.87;;2.09;0.57;0.92;0.36;0.35;1.13;0.71;0.96;0.09;0.81;0.10;0.47;15.06;0.37;10.45;4.24;34.91;13.87;9.78;2.27;8.99;1.05;6.41;56.39;3.82;73.70;64.71
180;SouthFlorida;-0.01;0.15;0.36;4.14;4.55;0.32;0.34;0.84;;1.15;0.25;0.64;;0.04;0.67;2.78;0.85;0.80;-0.12;0.71;0.47;0.07;0.09;0.04;9.45;0.16;7.82;1.47;37.66;11.51;21.40;4.40;0.36;0.90;0.57;47.69;3.08;69.62;62.56
181;NEHartford;0.02;-0.16;3.27;0.71;3.92;0.25;0.28;0.71;0.62;0.71;0.53;0.20;;0.27;0.66;0.67;0.84;0.40;0.11;0.65;0.23;0.08;-0.08;0.09;8.19;0.26;9.39;-1.46;23.39;8.90;10.06;4.11;0.32;0.84;0.87;32.44;2.72;51.49;44.24
188;NorthBay;-0.03;0.46;1.95;0.40;2.24;0.06;0.25;0.74;;0.49;0.98;0.78;0.01;0.07;0.50;1.52;0.52;0.74;0.11;0.65;0.46;0.23;0.53;0.03;11.72;0.47;6.85;4.40;20.75;10.36;5.88;5.10;-0.59;0.98;1.33;33.79;2.76;47.67;40.13
190;MARMontgomery;-0.02;0.00;2.67;0.98;3.55;0.32;0.29;0.74;0.11;0.78;0.67;0.48;;0.25;0.77;;0.86;0.67;0.10;0.76;0.30;0.35;0.09;0.07;9.71;-0.07;9.87;-0.09;25.37;10.69;10.26;5.24;-0.83;0.99;2.07;37.15;3.13;56.05;50.80
191;FingerLakes;-0.03;0.09;0.62;1.56;2.32;0.02;0.36;0.68;;0.74;1.00;0.84;;0.02;0.70;;0.52;0.79;-0.05;0.74;-0.11;0.10;-0.09;-0.13;8.52;0.47;7.34;0.71;20.77;9.72;9.02;3.81;-1.78;0.64;-0.17;29.13;2.68;43.08;36.79
195;NEDistrictChampionship;-0.04;0.73;-1.19;6.18;5.75;0.20;0.39;0.72;;0.75;0.67;0.38;;0.20;0.64;0.67;0.77;0.51;0.22;0.65;0.45;0.24;-0.07;0.25;17.23;0.21;9.92;7.10;45.55;9.38;28.49;3.24;4.43;0.94;2.42;65.20;2.87;90.33;78.03
207;Ventura;-0.05;0.10;-0.05;3.67;3.75;0.19;0.44;0.50;0.60;0.80;1.51;1.01;;0.43;0.68;1.43;0.61;0.88;0.66;0.69;0.44;-0.13;-0.08;0.15;7.91;0.67;6.45;0.78;44.70;13.49;18.26;2.21;10.74;1.16;0.10;52.71;3.34;72.79;66.24
217;MITroy;0.00;0.16;-0.52;4.56;4.35;0.10;0.63;0.62;-0.99;1.06;0.62;0.86;1.25;0.30;1.06;0.67;0.24;0.86;0.38;0.97;0.19;0.45;-0.16;-0.12;9.39;0.52;7.28;1.58;41.82;11.69;21.73;2.68;5.72;0.92;1.65;52.86;3.07;74.13;67.93
225;MARWesttown;-0.01;0.67;0.26;4.24;5.15;0.30;0.44;0.72;52.33;0.70;0.81;0.63;;0.25;0.68;;0.87;0.67;0.32;0.69;-0.16;0.37;0.00;0.11;12.50;0.36;5.49;6.65;44.31;13.59;21.70;2.67;6.35;0.96;2.37;59.18;3.27;83.44;75.47
228;NERhodeIsland;0.00;0.14;3.16;0.33;3.55;0.17;0.37;0.66;;0.87;0.65;0.72;-7.28;0.73;0.61;0.67;0.93;0.72;0.45;0.59;-0.25;0.43;0.09;0.33;8.01;0.80;5.77;1.44;27.42;13.88;7.97;6.08;-0.50;1.18;3.80;39.23;3.35;58.71;50.94
229;NorthBay;-0.03;-0.05;1.05;1.53;2.57;-0.04;0.38;0.72;;0.74;0.52;0.66;-0.05;-0.43;0.77;0.23;0.81;0.66;-0.22;0.73;-0.13;0.41;-0.07;-0.03;6.94;0.06;7.60;-0.71;24.11;9.70;9.76;4.07;0.59;0.85;1.90;32.99;2.70;47.77;39.52
230;NEDistrictChampionship;-0.10;0.69;0.04;4.99;5.52;0.11;0.35;0.69;;0.80;0.67;0.70;;0.50;0.39;0.67;0.76;0.68;0.33;0.49;-0.14;0.52;0.09;0.01;16.43;0.14;9.91;6.39;39.14;9.78;25.01;3.38;0.97;0.74;2.66;58.23;2.95;82.86;67.97
231;Alamo;0.00;0.06;4.07;-0.10;3.77;0.14;0.42;0.67;14.65;1.13;1.81;0.64;-0.33;-0.05;1.11;3.07;1.28;0.41;0.10;0.93;0.38;1.11;0.25;-0.15;6.32;-0.34;6.03;0.63;24.93;13.95;7.62;3.82;-0.46;0.73;4.83;36.08;3.39;56.35;47.95
233;Orlando;0.22;-0.04;6.52;-0.11;6.64;0.23;0.72;0.75;;1.64;0.40;0.89;;-0.92;0.93;;1.32;0.96;-0.40;0.89;0.13;0.52;-0.04;-0.11;8.96;0.64;7.62;0.70;30.52;13.76;12.51;4.63;-0.38;0.90;2.04;41.53;3.51;71.05;61.61
236;NEHartford;-0.02;0.16;2.38;-0.47;1.94;0.18;0.28;0.68;0.13;0.57;0.79;0.75;;0.17;0.72;0.67;0.44;0.67;0.19;0.71;-0.05;0.14;0.12;0.12;11.65;-0.16;10.28;1.52;17.68;8.36;2.44;4.55;2.34;1.07;1.29;30.63;2.70;43.43;40.67
237;NEHartford;-0.02;0.14;-0.09;1.59;1.66;-0.02;0.12;0.51;0.30;0.63;0.82;0.76;;-0.36;0.62;0.67;0.41;0.75;-0.32;0.61;-0.05;0.11;-0.04;-0.09;6.62;0.39;4.87;1.35;26.70;7.35;7.77;1.32;10.26;0.95;0.10;33.42;1.96;43.51;35.28
238;NEDistrictChampionship;0.30;-0.01;2.94;0.94;4.32;0.36;0.26;0.60;;0.70;0.67;0.67;;1.23;0.56;0.67;0.72;0.67;1.10;0.60;-0.06;0.15;-0.15;-0.05;12.95;-0.14;11.75;1.34;28.16;12.58;10.61;5.05;-0.08;1.00;0.51;41.62;3.69;64.34;55.76
245;QueenCity;0.00;0.14;0.21;3.30;3.50;0.38;0.31;0.59;;0.80;0.74;1.04;;-0.04;0.68;-16818431248481100.00;0.78;0.87;-0.06;0.65;0.12;0.46;0.14;-0.08;8.36;0.39;6.64;1.34;33.36;10.81;16.91;5.40;0.25;1.10;1.90;43.62;2.83;61.63;59.14
254;SiliconValley;0.00;0.75;-0.15;7.58;8.19;0.52;0.56;0.76;;1.68;;0.58;;-0.05;0.69;;1.46;0.79;-0.29;0.67;0.19;0.87;-0.01;-0.04;14.70;0.12;7.06;7.51;60.04;13.44;37.60;3.88;5.13;1.12;4.18;78.92;3.39;112.98;102.93
263;SBPLILongIsland;0.00;0.03;1.23;0.41;1.50;0.18;0.62;0.65;-0.03;0.92;0.96;0.89;;0.58;0.77;;0.68;0.78;0.43;0.79;1.42;-0.10;0.17;0.06;10.83;0.15;10.36;0.32;22.73;11.50;4.51;6.44;0.29;1.31;-0.20;33.36;3.34;46.39;50.31
279;QueenCity;-0.02;-0.07;0.59;0.66;1.22;-0.14;0.01;0.46;;-0.28;0.17;0.82;;0.50;0.63;147436036936302.00;-0.14;0.38;0.64;0.67;0.44;0.36;-0.05;-0.03;-1.44;1.88;-2.52;-0.81;23.00;11.30;4.49;3.70;3.50;0.97;1.66;23.21;2.01;32.03;20.00
287;Utah;-0.03;0.00;1.18;2.02;3.13;0.18;0.32;0.68;;0.18;0.64;0.42;;0.66;0.80;;0.36;0.53;0.53;0.81;0.15;0.04;0.05;0.05;12.41;-0.22;12.77;-0.14;27.20;8.13;12.46;6.27;0.35;1.28;0.49;40.10;2.90;57.13;51.19
294;OrangeCounty;0.00;-0.01;-0.45;2.83;2.40;-0.04;0.45;0.62;;1.16;0.96;0.11;;1.04;0.70;;0.93;0.65;0.72;0.78;-0.31;0.41;-0.04;0.05;7.50;-0.08;7.70;-0.12;32.54;14.67;13.23;4.35;0.29;0.89;2.33;42.37;3.70;59.12;50.50
295;LasVegas;-0.01;0.05;0.61;0.80;1.34;0.20;0.07;0.46;;1.04;0.61;0.41;;0.21;0.47;0.67;1.04;0.45;0.02;0.65;0.29;0.37;0.11;-0.03;10.20;0.14;9.63;0.43;16.65;8.35;5.23;3.86;-0.78;0.72;1.72;28.59;2.63;39.36;34.85
296;Montreal;-0.02;0.06;1.71;-0.02;1.69;0.18;0.31;0.61;;0.49;;0.67;-0.17;-1.12;0.79;92.63;0.85;0.75;-0.48;0.78;0.61;0.42;0.04;0.18;8.41;0.24;7.71;0.46;18.94;8.70;3.33;2.37;4.54;0.78;3.05;30.40;2.51;41.95;41.12
303;Buckeye;-0.03;0.20;1.47;2.37;3.80;0.52;0.28;0.57;;1.03;0.29;0.86;-0.94;0.27;0.62;0.83;0.85;0.60;-0.03;0.71;-0.56;0.34;0.22;0.25;6.82;0.71;4.23;1.88;34.43;11.41;14.82;3.83;4.38;1.06;2.92;44.16;2.70;62.79;62.82
319;NEDistrictChampionship;-0.05;0.48;3.30;1.41;5.04;0.45;0.36;0.66;;0.70;0.67;0.70;;-0.17;0.69;0.67;0.71;0.69;-0.22;0.68;-0.03;-0.06;0.10;0.18;15.22;-0.33;10.99;4.57;27.90;7.12;13.63;3.09;4.06;0.89;0.57;43.69;2.52;65.75;62.23
321;MARDistrictChampionship;0.20;0.08;3.26;0.49;3.97;0.28;0.34;0.66;;0.58;0.66;0.66;;0.18;0.67;;0.59;0.68;0.23;0.69;0.25;-0.04;0.06;-0.04;9.82;-0.22;8.23;1.80;25.62;10.12;8.97;4.12;2.41;0.98;-0.38;35.06;2.85;54.58;48.82
329;Utah;0.06;0.00;0.04;3.45;3.38;0.35;0.31;0.68;;0.84;1.26;0.70;;-0.11;0.74;;0.61;0.86;-0.15;0.72;0.10;0.04;0.16;-0.13;10.23;0.30;9.64;0.29;32.22;8.75;17.32;5.89;0.27;1.20;-0.46;41.99;2.71;59.35;56.93
330;Ventura;-0.05;0.71;0.73;5.00;6.46;0.34;0.43;0.68;1.15;1.49;1.34;0.84;;-0.06;0.87;0.16;1.20;0.68;-0.18;0.79;-0.18;0.08;-0.06;-0.02;14.21;0.19;7.17;6.86;45.56;12.25;26.48;5.67;1.16;1.21;0.27;60.04;3.17;88.14;77.27
333;NewYorkTechValley;0.00;0.75;-0.59;1.77;1.90;0.05;0.25;0.80;;0.42;0.24;0.48;0.32;0.53;1.08;0.68;0.49;0.36;0.33;0.84;0.09;0.34;0.03;0.14;12.53;0.14;4.84;7.54;21.92;11.69;7.65;3.70;-1.12;0.67;2.38;36.83;2.82;49.83;43.04
334;NewYorkCity;0.01;-0.04;0.69;0.38;1.00;0.00;0.29;0.37;;0.46;;0.92;-16.64;1.16;0.58;34.99;0.51;0.83;0.80;0.59;-0.23;-0.10;0.05;-0.31;1.90;0.57;1.63;-0.30;23.75;14.76;3.28;6.17;-0.46;1.20;-2.08;23.53;3.11;34.43;29.24
339;CHDistrictChampionship;0.12;0.03;0.83;1.87;2.77;0.28;0.29;0.68;;0.73;0.63;0.66;;-0.17;0.59;;0.81;0.62;-0.29;0.61;-0.32;-0.03;0.08;0.04;11.05;0.35;9.85;0.85;21.20;7.21;11.02;3.00;-0.02;0.60;0.03;32.29;2.43;47.00;45.14
341;MARDistrictChampionship;-0.03;0.34;-0.40;4.32;4.15;0.55;0.33;0.53;;0.45;0.68;0.61;;0.97;0.68;;0.41;0.78;1.01;0.68;0.17;0.46;0.09;0.00;13.31;-0.04;10.09;3.27;43.98;12.00;20.81;1.60;9.57;0.96;2.28;59.57;3.41;81.05;79.89
346;CHDistrictChampionship;-0.02;0.07;-0.41;2.51;1.99;0.07;0.29;0.67;;0.10;0.67;0.54;;0.55;0.71;;-0.03;0.60;0.53;0.71;0.17;0.01;0.16;0.03;11.54;-0.15;11.11;0.58;27.01;6.84;11.74;2.63;5.80;0.91;0.20;38.75;2.48;51.16;46.42
354;NewYorkCity;-0.02;0.00;1.50;-0.27;0.93;-0.01;0.15;0.66;;0.28;;0.64;26.25;0.39;-0.14;52.14;0.21;1.08;0.45;0.33;0.05;0.28;0.29;-0.15;0.63;1.47;-0.69;-0.15;19.11;14.02;1.68;4.59;-1.18;0.84;0.63;21.04;2.74;30.78;23.86
359;Hawaii;0.08;0.24;0.18;4.12;4.63;0.23;0.63;0.81;0.99;0.89;0.59;1.01;0.13;0.21;1.01;-1.67;0.97;0.91;0.16;0.87;-0.09;0.63;-0.01;0.01;15.53;-0.07;12.78;2.82;39.59;12.22;20.96;5.63;0.79;1.18;3.18;58.29;3.72;82.07;76.51
360;PNWDistrictChampionship;-0.02;0.06;0.56;4.03;4.47;0.31;0.33;0.69;;0.63;0.67;0.69;;-0.30;0.68;;0.64;0.69;-0.21;0.67;0.23;0.42;0.15;-0.02;11.37;-0.28;11.19;0.46;33.04;6.81;21.25;5.23;-0.24;1.03;2.03;46.45;2.48;66.62;60.72
364;RocketCity;0.00;0.06;-0.02;3.66;3.69;0.02;0.19;0.66;0.01;0.18;0.67;0.65;;0.55;0.84;;0.12;0.66;0.38;0.81;0.18;-0.10;0.01;0.02;11.25;-0.62;11.26;0.60;32.02;7.55;18.24;1.36;4.87;0.60;-0.35;42.91;2.64;61.03;47.17
365;MARSeneca;0.00;0.24;0.28;2.14;2.42;0.20;0.15;0.73;0.20;0.49;1.10;0.79;-0.42;0.09;0.53;0.62;0.22;0.80;-0.25;0.76;0.01;0.43;0.24;-0.01;10.25;0.22;7.68;2.35;28.46;7.45;11.28;4.27;5.46;1.22;2.11;40.83;2.26;54.02;48.84
368;SiliconValley;0.00;0.13;-0.09;3.95;3.98;0.37;0.50;0.76;;1.11;;0.69;;0.28;0.65;;0.34;0.77;0.81;0.73;-0.19;0.60;0.01;0.02;12.20;-0.25;11.15;1.31;40.75;11.52;19.56;5.65;4.03;1.40;3.06;56.02;3.42;76.99;75.24
379;Buckeye;-0.02;0.18;-0.77;2.68;1.57;0.25;0.30;0.56;;0.22;0.80;-0.02;-0.52;0.33;0.72;1.36;0.31;0.92;0.48;0.79;0.06;1.10;0.51;0.11;4.72;1.14;1.84;1.74;37.69;14.47;11.88;2.68;8.66;1.11;6.07;48.48;3.08;61.08;60.63
