Team,Team Name,Drive Base,Strategy,Scale,Low Goal,High Goal,Low Bar,Cheval-de-frise,Rampart,Drawbridge,Sally Port,Rock Wall,Moat,Rough Terrain,Portcullis,Auto Cross,Auto Reach,Auto Low,Auto High,Pre-Event Auto Cross,Pre-Event Auto Reach,Pre-Event Auto Low,Pre-Event Auto High,Pre-Event Scale,Pre-Event Low Bar,Pre-Event Low Goal,Pre-Event High Goal,Pre-Event Cheval-de-frise,Pre-Event Rampart,Pre-Event Drawbridge,Pre-Event Sally Port,Pre-Event Rock Wall,Pre-Event Moat,Pre-Event Rough Terrain,Pre-Event Portcullis,Pre-Event OPR,Pre-Event DPR,Pre-Event CCWM
360,The Revolution,,,,1,,1,,1,,,,1,,,1,1,,,1,1,,,,1,,1,,1,,,,1,,,25.43,26.25,-0.82
948,NRG,,,,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,1,1,1,1,1,,,1,1,1,1,27.60,25.79,1.81
1425,Error Code Xero,6 wheel tank,,1,1,1,,1,1,1,1,1,1,1,1,1,,,,1,,,,1,1,1,,1,1,1,1,1,1,1,1,40.48,20.70,19.78
2046,Bear Metal,,,,1,,1,1,1,,,1,1,1,1,1,,,1,1,,,1,,1,,1,1,1,,,1,1,1,1,33.90,18.81,15.09
2412,Robototes,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.65,17.14,3.51
2555,RoboRams,,,,1,,1,,1,,,,1,1,,1,1,,,1,1,,,,1,,1,,1,,,,1,1,,13.01,29.54,-16.53
2906,Sentinel Prime Robotics,,,,,,1,,,,,,1,1,,,1,,,,1,,,,,,1,,,,,,1,1,,21.02,17.30,3.72
2910,Jack in the Bot,,,1,1,1,1,,1,,,1,1,1,,,,,,,,,,1,1,1,1,,1,,,1,1,1,,25.00,25.00,0.00
2927,Pi Rho Techs,,,,,,,,1,,,,1,1,,1,1,,,1,1,,,,,,,,1,,,,1,1,,9.89,22.41,-12.52
2929,JAGBOTS,,,,,1,,,,,1,,1,1,,,,,,,,,,,,1,,,,,1,,1,1,,15.56,20.72,-5.16
